Time,ParticipantID,Scenario,Sequence,HeadX,HeadY,HeadZ,HeadYaw,HeadPitch,VideoX,VideoY,VideoZ,InstX,InstY,InstZ,GazeTarget,HitObjectName,AngleToVideo,AngleToInst,VideoDist,InstDist,VideoOcc,InstOcc,VideoOccHitName,InstOccHitName,VideoInCone,InstInCone,VideoVisible,InstVisible,VideoSpeed,InstSpeed,PanelSeparation,ScreenOverlapPct,BothVisible
0.00,Akash,AUIT_Multi,CBA,1.000,0.000,1.000,0.0,0.0,-2.197,1.378,13.812,-26.067,0.000,792.755,World,CabinetD01,15.2,2.0,13.277,792.217,1,1,CabinetD01,CabinetD01,1,1,0,0,0.0000,0.0000,779.309,0.000,0
0.18,Akash,AUIT_Multi,CBA,1.000,0.000,1.000,0.0,0.0,-1.422,1.055,10.573,-18.765,0.000,583.367,World,CabinetD01,15.4,1.9,9.931,582.703,1,1,CabinetD01,CabinetD01,1,1,0,0,18.5001,1158.4730,573.057,0.047,0
0.21,Akash,AUIT_Multi,CBA,1.000,0.000,1.000,0.0,0.0,0.295,0.118,2.981,1.303,0.000,6.224,World,CabinetD01,19.8,3.3,2.106,5.233,1,1,CabinetD01,CabinetDCorner01,1,1,0,0,247.1992,18208.2800,3.398,0.000,0
0.30,Akash,AUIT_Multi,CBA,1.000,0.000,1.000,0.0,0.0,0.479,0.011,2.172,1.222,0.014,1.368,World,CabinetD01,24.0,31.1,1.282,0.430,1,0,CabinetD01,None,1,0,0,0,9.0670,52.6137,1.095,0.000,0
0.40,Akash,AUIT_Multi,CBA,1.000,0.000,1.000,0.0,0.0,0.494,0.001,2.098,1.277,0.100,0.028,World,CabinetD01,24.7,163.1,1.209,1.016,1,0,CabinetD01,None,1,0,0,0,0.7717,13.7035,2.216,0.109,0
0.51,Akash,AUIT_Multi,CBA,1.000,0.000,1.000,0.0,0.0,0.493,0.000,2.088,1.229,0.118,1.283,World,CabinetD01,25.0,42.4,1.201,0.383,1,0,CabinetD01,None,1,0,0,0,0.0886,11.3577,1.098,0.000,0
0.61,Akash,AUIT_Multi,CBA,1.000,0.000,1.000,0.0,0.0,0.493,0.000,2.088,1.225,0.120,1.455,World,CabinetD01,25.0,29.2,1.200,0.522,1,0,CabinetD01,None,1,0,0,0,0.0084,1.7742,0.975,0.000,0
0.71,Akash,AUIT_Multi,CBA,1.000,0.000,1.000,0.0,0.0,0.536,0.001,2.026,1.154,0.080,1.393,World,CabinetD01,24.3,23.8,1.126,0.430,1,0,CabinetD01,None,1,1,0,0,0.7735,1.0528,0.888,0.000,0
0.81,Akash,AUIT_Multi,CBA,1.000,0.000,1.000,0.0,0.0,0.578,0.001,1.967,1.086,0.042,1.337,World,CabinetD01,23.6,15.9,1.055,0.350,1,0,CabinetD01,None,1,1,0,0,0.7429,0.9923,0.811,0.000,0
0.90,Akash,AUIT_Multi,CBA,1.000,0.000,1.000,0.0,0.0,0.620,0.002,1.908,1.142,0.080,1.411,World,CabinetD01,22.7,21.6,0.984,0.442,1,0,CabinetD01,None,1,1,0,0,0.7517,1.0281,0.725,0.000,0
1.00,Akash,AUIT_Multi,CBA,0.745,1.755,1.115,264.5,8.7,0.534,0.604,1.481,0.566,0.762,1.492,World,Wall4m,73.6,74.4,1.225,1.076,0,0,None,None,0,0,0,0,7.2951,8.7958,0.162,1.000,0
1.10,Akash,AUIT_Multi,CBA,0.741,1.755,1.096,264.9,8.0,0.672,0.290,1.583,-0.214,1.574,1.507,World,Wall4m,81.5,28.1,1.546,1.055,1,0,CabinetD01,None,0,0,0,0,3.6273,11.4083,1.562,0.888,0
1.20,Akash,AUIT_Multi,CBA,0.739,1.757,1.085,267.0,7.6,0.607,0.288,1.581,-0.064,1.644,1.259,World,Wall4m,78.9,15.1,1.556,0.829,1,0,CabinetD02,None,0,1,0,1,0.6467,2.9615,1.547,0.650,0
1.31,Akash,AUIT_Multi,CBA,0.743,1.761,1.080,268.5,6.3,0.644,0.289,1.565,0.147,1.696,1.023,World,Wall4m,80.8,3.9,1.554,0.602,0,0,None,None,0,1,0,0,0.3670,2.9428,1.588,0.451,0
1.41,Akash,AUIT_Multi,CBA,0.746,1.762,1.079,266.6,4.7,0.686,0.286,1.503,0.060,1.744,0.778,World,Refrigerator03_Door01,84.2,20.5,1.537,0.750,0,0,None,None,0,1,0,0,0.7748,2.7130,1.745,0.630,0
1.51,Akash,AUIT_Multi,CBA,0.746,1.763,1.081,260.3,5.5,0.719,0.289,1.427,-0.222,1.760,0.529,World,Refrigerator03_Door01,85.9,20.7,1.515,1.114,0,0,None,None,0,1,0,1,0.8524,3.8660,1.964,0.504,0
1.60,Akash,AUIT_Multi,CBA,0.742,1.758,1.088,254.5,7.3,0.753,0.288,1.347,-0.222,1.761,0.395,World,Refrigerator03_Door01,85.9,21.5,1.492,1.187,0,0,None,None,0,1,0,1,0.8874,1.3719,2.007,0.565,0
1.70,Akash,AUIT_Multi,CBA,0.736,1.751,1.097,249.7,10.8,0.632,0.633,1.293,-0.075,1.746,0.537,World,Refrigerator03,77.9,17.6,1.141,0.986,0,0,None,None,0,1,0,1,3.7913,2.1025,1.520,0.609,0
1.80,Akash,AUIT_Multi,CBA,0.730,1.747,1.107,246.1,13.1,0.673,0.755,1.259,0.082,1.728,0.712,World,Refrigerator03,77.6,13.9,1.004,0.760,0,0,None,None,0,1,0,0,1.3702,2.4097,1.263,0.683,0
1.91,Akash,AUIT_Multi,CBA,0.725,1.745,1.127,246.7,13.9,0.618,0.895,1.232,0.040,1.734,0.461,World,Refrigerator03,72.5,24.5,0.863,0.956,0,0,None,None,0,1,0,1,1.3762,2.2980,1.278,0.903,0
2.01,Akash,AUIT_Multi,CBA,0.723,1.744,1.151,252.0,14.7,0.591,1.020,1.211,-0.071,1.743,0.284,World,Refrigerator03_Door01,67.1,32.6,0.738,1.175,0,0,None,None,0,0,0,0,1.3334,2.1392,1.349,0.000,0
2.11,Akash,AUIT_Multi,CBA,0.722,1.740,1.179,262.5,16.1,0.569,1.138,1.195,-0.172,1.743,0.367,World,Refrigerator03_Door01,60.0,37.9,0.622,1.208,0,0,None,None,0,0,0,0,1.2387,1.3439,1.266,0.000,0
2.20,Akash,AUIT_Multi,CBA,0.724,1.736,1.206,274.1,18.2,0.535,1.267,1.186,-0.254,1.740,0.591,World,Refrigerator03_Door01,50.2,40.1,0.506,1.155,0,0,None,None,0,0,0,0,1.3748,2.4453,1.095,0.000,0
2.30,Akash,AUIT_Multi,CBA,0.729,1.735,1.221,280.3,18.9,0.496,1.393,1.180,-0.196,1.736,0.851,World,Wall4m,39.6,36.8,0.415,0.996,0,0,None,None,0,0,0,0,1.3606,2.7428,0.840,0.000,0
