Time,ParticipantID,Scenario,Sequence,HeadX,HeadY,HeadZ,HeadYaw,HeadPitch,VideoX,VideoY,VideoZ,InstX,InstY,InstZ,GazeTarget,HitObjectName,AngleToVideo,AngleToInst,VideoDist,InstDist,VideoOcc,InstOcc,VideoOccHitName,InstOccHitName,VideoInCone,InstInCone,VideoVisible,InstVisible,VideoSpeed,InstSpeed,PanelSeparation,ScreenOverlapPct,BothVisible
0.00,Akash,AUIT_Single,CBA,1.000,0.000,1.000,0.0,0.0,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetD01,15.2,NaN,13.277,NaN,1,0,CabinetD01,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
0.35,Akash,AUIT_Single,CBA,1.000,0.000,1.000,0.0,0.0,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetD01,15.2,NaN,13.277,NaN,1,0,CabinetD01,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
0.37,Akash,AUIT_Single,CBA,1.000,0.000,1.000,0.0,0.0,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetD01,15.2,NaN,13.277,NaN,1,0,CabinetD01,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
0.38,Akash,AUIT_Single,CBA,1.000,0.000,1.000,0.0,0.0,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetD01,15.2,NaN,13.277,NaN,1,0,CabinetD01,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
0.41,Akash,AUIT_Single,CBA,1.000,0.000,1.000,0.0,0.0,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetD01,15.2,NaN,13.277,NaN,1,0,CabinetD01,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
0.51,Akash,AUIT_Single,CBA,1.000,0.000,1.000,0.0,0.0,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetD01,15.2,NaN,13.277,NaN,1,0,CabinetD01,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
0.60,Akash,AUIT_Single,CBA,1.000,0.000,1.000,0.0,0.0,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetD01,15.2,NaN,13.277,NaN,1,0,CabinetD01,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
0.71,Akash,AUIT_Single,CBA,1.000,0.000,1.000,0.0,0.0,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetD01,15.2,NaN,13.277,NaN,1,0,CabinetD01,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
1.12,Akash,AUIT_Single,CBA,1.000,0.000,1.000,0.0,0.0,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetD01,15.2,NaN,13.277,NaN,1,0,CabinetD01,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
1.13,Akash,AUIT_Single,CBA,0.956,1.762,0.984,351.0,7.1,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetD05Door,7.2,NaN,13.216,NaN,1,0,CabinetD05Door,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
1.17,Akash,AUIT_Single,CBA,0.956,1.762,0.984,350.8,7.2,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetD05Door,7.2,NaN,13.216,NaN,1,0,CabinetD05Door,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
1.18,Akash,AUIT_Single,CBA,0.956,1.762,0.984,350.4,7.4,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetD05Door,7.1,NaN,13.216,NaN,1,0,CabinetD05Door,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
1.21,Akash,AUIT_Single,CBA,0.956,1.762,0.984,350.1,7.6,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetD05Door,7.1,NaN,13.215,NaN,1,0,CabinetD05Door,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
1.31,Akash,AUIT_Single,CBA,0.956,1.760,0.985,349.8,8.4,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetD05Door,7.6,NaN,13.214,NaN,1,0,CabinetD05Door,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
1.41,Akash,AUIT_Single,CBA,0.958,1.760,0.987,350.0,8.9,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetD05Door,8.1,NaN,13.213,NaN,1,0,CabinetD05Door,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
1.51,Akash,AUIT_Single,CBA,0.959,1.760,0.988,350.0,9.0,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetD05Door,8.3,NaN,13.212,NaN,1,0,CabinetD05Door,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
1.60,Akash,AUIT_Single,CBA,0.959,1.758,0.990,349.3,9.8,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetD05Door,8.7,NaN,13.210,NaN,1,0,CabinetD05Door,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
1.76,Akash,AUIT_Single,CBA,0.957,1.757,0.992,347.9,10.2,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetD05Door,8.7,NaN,13.208,NaN,1,0,CabinetD05,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
1.81,Akash,AUIT_Single,CBA,0.952,1.757,0.993,345.0,10.8,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetD05,9.2,NaN,13.205,NaN,1,0,CabinetD05,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
1.91,Akash,AUIT_Single,CBA,0.941,1.754,0.993,340.8,12.8,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetD05,12.4,NaN,13.203,NaN,1,0,CabinetD05,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
2.01,Akash,AUIT_Single,CBA,0.927,1.752,0.992,337.4,14.6,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetD06,15.7,NaN,13.201,NaN,1,0,CabinetD05,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
2.10,Akash,AUIT_Single,CBA,0.908,1.749,0.988,334.6,16.9,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetD06,19.2,NaN,13.200,NaN,1,0,CabinetD05,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
2.20,Akash,AUIT_Single,CBA,0.888,1.746,0.980,330.7,18.5,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetD06,22.9,NaN,13.203,NaN,1,0,CabinetD05,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
2.41,Akash,AUIT_Single,CBA,0.874,1.743,0.958,323.5,20.1,-2.197,1.378,13.812,NaN,NaN,NaN,World,Wall4m,29.2,NaN,13.221,NaN,1,0,CabinetD05,None,0,0,0,0,0.0000,NaN,NaN,NaN,0
2.42,Akash,AUIT_Single,CBA,0.874,1.745,0.947,320.5,18.6,-2.197,1.378,13.812,NaN,NaN,NaN,World,Wall4m,30.7,NaN,13.232,NaN,1,0,CabinetD05,None,0,0,0,0,0.0000,NaN,NaN,NaN,0
2.51,Akash,AUIT_Single,CBA,0.880,1.742,0.934,315.9,19.2,-2.197,1.378,13.812,NaN,NaN,NaN,World,Wall4m,34.8,NaN,13.246,NaN,1,0,CabinetD05,None,0,0,0,0,0.0000,NaN,NaN,NaN,0
2.60,Akash,AUIT_Single,CBA,0.890,1.740,0.924,309.9,22.1,-2.197,1.378,13.812,NaN,NaN,NaN,World,Wall4m,41.1,NaN,13.257,NaN,1,0,CabinetD05,None,0,0,0,0,0.0000,NaN,NaN,NaN,0
2.70,Akash,AUIT_Single,CBA,0.898,1.736,0.925,310.0,22.6,-2.197,1.378,13.812,NaN,NaN,NaN,World,Wall4m,41.2,NaN,13.259,NaN,1,0,CabinetD05,None,0,0,0,0,0.0000,NaN,NaN,NaN,0
2.81,Akash,AUIT_Single,CBA,0.903,1.735,0.920,312.1,24.0,-2.197,1.378,13.812,NaN,NaN,NaN,World,Wall4m,40.1,NaN,13.264,NaN,1,0,CabinetD05,None,0,0,0,0,0.0000,NaN,NaN,NaN,0
3.02,Akash,AUIT_Single,CBA,0.900,1.737,0.909,311.1,23.1,-2.197,1.378,13.812,NaN,NaN,NaN,World,Wall4m,40.5,NaN,13.275,NaN,1,0,CabinetD05,None,0,0,0,0,0.0000,NaN,NaN,NaN,0
3.04,Akash,AUIT_Single,CBA,0.896,1.738,0.904,311.2,22.8,-2.197,1.378,13.812,NaN,NaN,NaN,World,Wall4m,40.3,NaN,13.278,NaN,1,0,CabinetD05,None,0,0,0,0,0.0000,NaN,NaN,NaN,0
3.10,Akash,AUIT_Single,CBA,0.886,1.739,0.901,312.4,22.7,-2.197,1.378,13.812,NaN,NaN,NaN,World,Wall4m,39.3,NaN,13.279,NaN,1,0,CabinetD05,None,0,0,0,0,0.0000,NaN,NaN,NaN,0
3.20,Akash,AUIT_Single,CBA,0.863,1.739,0.898,313.6,22.1,-2.197,1.378,13.812,NaN,NaN,NaN,World,Wall4m,38.1,NaN,13.277,NaN,1,0,CabinetD06,None,0,0,0,0,0.0000,NaN,NaN,NaN,0
