Time,ParticipantID,Scenario,Sequence,HeadX,HeadY,HeadZ,HeadYaw,HeadPitch,VideoX,VideoY,VideoZ,InstX,InstY,InstZ,GazeTarget,HitObjectName,AngleToVideo,AngleToInst,VideoDist,InstDist,VideoOcc,InstOcc,VideoOccHitName,InstOccHitName,VideoInCone,InstInCone,VideoVisible,InstVisible,VideoSpeed,InstSpeed,PanelSeparation,ScreenOverlapPct,BothVisible
0.00,Akash,Static,CBA,1.000,0.000,1.000,0.0,0.0,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetD01,15.2,NaN,13.277,NaN,1,0,CabinetD01,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
0.15,Akash,Static,CBA,1.000,0.000,1.000,0.0,0.0,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetD01,15.2,NaN,13.277,NaN,1,0,CabinetD01,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
0.21,Akash,Static,CBA,1.000,0.000,1.000,0.0,0.0,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetD01,15.2,NaN,13.277,NaN,1,0,CabinetD01,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
0.30,Akash,Static,CBA,1.000,0.000,1.000,0.0,0.0,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetD01,15.2,NaN,13.277,NaN,1,0,CabinetD01,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
0.41,Akash,Static,CBA,1.000,0.000,1.000,0.0,0.0,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetD01,15.2,NaN,13.277,NaN,1,0,CabinetD01,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
0.51,Akash,Static,CBA,1.000,0.000,1.000,0.0,0.0,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetD01,15.2,NaN,13.277,NaN,1,0,CabinetD01,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
0.61,Akash,Static,CBA,1.000,0.000,1.000,0.0,0.0,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetD01,15.2,NaN,13.277,NaN,1,0,CabinetD01,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
0.71,Akash,Static,CBA,1.000,0.000,1.000,0.0,0.0,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetD01,15.2,NaN,13.277,NaN,1,0,CabinetD01,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
0.80,Akash,Static,CBA,1.000,0.000,1.000,0.0,0.0,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetD01,15.2,NaN,13.277,NaN,1,0,CabinetD01,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
0.92,Akash,Static,CBA,0.518,1.751,0.864,297.9,11.2,-2.197,1.378,13.812,NaN,NaN,NaN,World,Wall4m,50.7,NaN,13.236,NaN,1,0,CabinetD06Door,None,0,0,0,0,0.0000,NaN,NaN,NaN,0
1.00,Akash,Static,CBA,0.522,1.766,0.855,295.2,3.4,-2.197,1.378,13.812,NaN,NaN,NaN,World,Wall4m,52.9,NaN,13.245,NaN,1,0,CabinetD06Door,None,0,0,0,0,0.0000,NaN,NaN,NaN,0
1.10,Akash,Static,CBA,0.524,1.771,0.850,294.0,0.3,-2.197,1.378,13.812,NaN,NaN,NaN,World,Wall4m,54.2,NaN,13.251,NaN,1,0,CabinetD06Door,None,0,0,0,0,0.0000,NaN,NaN,NaN,0
1.21,Akash,Static,CBA,0.527,1.775,0.844,292.4,357.9,-2.197,1.378,13.812,NaN,NaN,NaN,World,Wall4m,55.9,NaN,13.257,NaN,1,0,CabinetD06Door,None,0,0,0,0,0.0000,NaN,NaN,NaN,0
1.31,Akash,Static,CBA,0.527,1.775,0.838,290.5,357.8,-2.197,1.378,13.812,NaN,NaN,NaN,World,Wall4m,57.8,NaN,13.263,NaN,1,0,CabinetD06,None,0,0,0,0,0.0000,NaN,NaN,NaN,0
1.41,Akash,Static,CBA,0.526,1.775,0.829,286.3,358.1,-2.197,1.378,13.812,NaN,NaN,NaN,World,Refrigerator03_Door01,62.0,NaN,13.271,NaN,1,0,CabinetD06,None,0,0,0,0,0.0000,NaN,NaN,NaN,0
1.50,Akash,Static,CBA,0.523,1.773,0.817,279.0,359.0,-2.197,1.378,13.812,NaN,NaN,NaN,World,Refrigerator03_Door01,69.2,NaN,13.283,NaN,1,0,CabinetD06,None,0,0,0,0,0.0000,NaN,NaN,NaN,0
1.60,Akash,Static,CBA,0.522,1.771,0.807,272.4,0.7,-2.197,1.378,13.812,NaN,NaN,NaN,World,Refrigerator03_Door01,75.8,NaN,13.292,NaN,1,0,CabinetD06,None,0,0,0,0,0.0000,NaN,NaN,NaN,0
1.71,Akash,Static,CBA,0.519,1.768,0.800,268.1,2.7,-2.197,1.378,13.812,NaN,NaN,NaN,World,Refrigerator03_Door01,80.1,NaN,13.298,NaN,1,0,CabinetD06,None,0,0,0,0,0.0000,NaN,NaN,NaN,0
1.81,Akash,Static,CBA,0.517,1.766,0.797,266.2,4.7,-2.197,1.378,13.812,NaN,NaN,NaN,World,Refrigerator03_Door01,81.9,NaN,13.301,NaN,1,0,CabinetD06,None,0,0,0,0,0.0000,NaN,NaN,NaN,0
1.91,Akash,Static,CBA,0.515,1.763,0.797,266.1,6.3,-2.197,1.378,13.812,NaN,NaN,NaN,World,Refrigerator03_Door01,82.0,NaN,13.300,NaN,1,0,CabinetD06,None,0,0,0,0,0.0000,NaN,NaN,NaN,0
2.00,Akash,Static,CBA,0.512,1.760,0.805,270.3,8.1,-2.197,1.378,13.812,NaN,NaN,NaN,World,Refrigerator03_Door01,77.9,NaN,13.292,NaN,1,0,CabinetD06,None,0,0,0,0,0.0000,NaN,NaN,NaN,0
2.10,Akash,Static,CBA,0.512,1.756,0.821,280.4,10.8,-2.197,1.378,13.812,NaN,NaN,NaN,World,Refrigerator03_Door01,67.9,NaN,13.276,NaN,1,0,CabinetD06,None,0,0,0,0,0.0000,NaN,NaN,NaN,0
