Time,ParticipantID,Scenario,Sequence,HeadX,HeadY,HeadZ,HeadYaw,HeadPitch,VideoX,VideoY,VideoZ,InstX,InstY,InstZ,GazeTarget,HitObjectName,AngleToVideo,AngleToInst,VideoDist,InstDist,VideoOcc,InstOcc,VideoOccHitName,InstOccHitName,VideoInCone,InstInCone,VideoVisible,InstVisible,VideoSpeed,InstSpeed,PanelSeparation,ScreenOverlapPct,BothVisible
0.00,Fazilat,AUIT_Multi,CBA,1.000,0.000,0.500,0.0,0.0,-2.197,1.378,13.812,-26.067,0.000,792.755,World,CabinetDCorner01,14.7,2.0,13.760,792.717,1,1,CabinetD01,CabinetDCorner01,1,1,0,0,0.0000,0.0000,779.309,0.000,0
0.15,Fazilat,AUIT_Multi,CBA,1.000,0.000,0.500,0.0,0.0,-1.463,1.055,10.528,-18.765,0.000,583.235,World,CabinetDCorner01,15.0,1.9,10.380,583.070,1,1,CabinetD01,CabinetDCorner01,1,1,0,0,21.8482,1354.9010,572.969,0.047,0
0.20,Fazilat,AUIT_Multi,CBA,1.000,0.000,0.500,0.0,0.0,0.328,0.094,2.347,-6.415,0.009,220.012,World,CabinetDCorner01,20.2,1.9,1.968,219.637,1,1,CabinetD01,CabinetD01,1,1,0,0,169.8813,7324.5050,217.769,0.048,0
0.30,Fazilat,AUIT_Multi,CBA,1.000,0.000,0.500,0.0,0.0,0.478,0.009,1.662,1.047,0.009,5.488,World,CabinetDCorner01,24.2,0.5,1.274,4.988,1,1,CabinetD02,CabinetD01,1,1,0,0,7.3178,2222.8420,3.868,0.000,0
0.41,Fazilat,AUIT_Multi,CBA,1.000,0.000,0.500,0.0,0.0,0.496,0.001,1.596,1.442,0.100,0.713,World,CabinetDCorner01,24.7,64.8,1.206,0.501,1,0,CabinetD02,None,1,0,0,0,0.6238,43.1265,1.298,0.000,0
0.51,Fazilat,AUIT_Multi,CBA,1.000,0.000,0.500,0.0,0.0,0.494,0.000,1.589,1.453,0.117,1.327,World,CabinetDCorner01,25.0,29.5,1.201,0.951,1,0,CabinetD02,None,1,0,0,0,0.0776,6.3123,1.002,0.000,0
0.61,Fazilat,AUIT_Multi,CBA,1.000,0.000,0.500,0.0,0.0,0.493,0.000,1.588,1.449,0.120,1.443,World,CabinetDCorner01,25.0,26.2,1.200,1.052,1,0,CabinetD02,None,1,0,0,0,0.0109,1.1976,0.974,0.000,0
0.70,Fazilat,AUIT_Multi,CBA,1.000,0.000,0.500,0.0,0.0,0.537,0.010,1.537,1.275,0.085,1.264,World,CabinetDCorner01,24.1,20.6,1.136,0.817,0,0,None,None,1,1,1,1,0.6966,2.5929,0.790,0.000,1
0.80,Fazilat,AUIT_Multi,CBA,1.000,0.000,0.500,0.0,0.0,0.580,0.020,1.489,1.106,0.052,1.095,World,CabinetDCorner01,23.0,11.2,1.074,0.607,0,0,None,None,1,1,1,0,0.6745,2.4829,0.657,0.000,0
0.91,Fazilat,AUIT_Multi,CBA,1.000,0.000,0.500,0.0,0.0,0.624,0.030,1.440,1.192,0.074,1.223,World,CabinetDCorner01,21.9,15.9,1.013,0.752,0,0,None,None,1,1,1,0,0.6147,1.4516,0.609,0.000,0
1.01,Fazilat,AUIT_Multi,CBA,0.914,1.583,0.501,10.5,12.4,0.710,0.314,1.278,1.429,1.077,1.333,World,Wall4m,49.1,24.9,1.502,1.102,0,0,None,None,0,1,0,1,3.2522,9.9809,1.050,0.000,0
1.11,Fazilat,AUIT_Multi,CBA,0.923,1.583,0.502,9.7,12.3,0.753,0.296,1.224,1.474,1.509,1.322,World,Wall4m,50.6,25.2,1.486,0.991,0,0,None,None,0,0,0,0,0.7204,4.3521,1.414,0.000,0
1.21,Fazilat,AUIT_Multi,CBA,0.930,1.583,0.503,9.2,12.1,0.800,0.317,1.160,1.316,1.517,1.154,World,Wall4m,52.1,22.4,1.432,0.760,0,0,None,None,0,1,0,0,0.8259,2.3260,1.306,0.000,0
1.31,Fazilat,AUIT_Multi,CBA,0.935,1.583,0.504,8.5,12.2,0.846,0.318,1.105,1.157,1.532,0.992,World,Wall4m,53.5,17.1,1.403,0.538,0,0,None,None,0,1,0,0,0.7403,2.3533,1.258,0.000,0
1.41,Fazilat,AUIT_Multi,CBA,0.939,1.583,0.506,7.7,12.2,0.890,0.336,1.049,1.209,1.565,1.161,World,Wall4m,54.8,18.1,1.361,0.709,0,0,None,None,0,1,0,0,0.7529,1.8511,1.275,0.000,0
1.50,Fazilat,AUIT_Multi,CBA,0.942,1.582,0.508,6.7,12.3,0.929,0.346,0.997,1.270,1.580,1.299,World,Wall4m,56.4,19.9,1.330,0.856,0,0,None,None,0,1,0,1,0.6781,1.5531,1.315,0.000,0
1.60,Fazilat,AUIT_Multi,CBA,0.943,1.583,0.510,5.6,12.1,0.968,0.354,0.948,1.277,1.582,1.317,World,Wall4m,58.3,20.7,1.305,0.873,0,0,None,None,0,1,0,1,0.6468,0.2000,1.319,0.000,0
1.71,Fazilat,AUIT_Multi,CBA,0.942,1.583,0.513,4.3,11.9,0.957,0.651,0.943,1.193,1.565,1.153,World,Wall4m,53.4,19.9,1.026,0.688,0,0,None,None,0,1,0,0,2.6756,1.6632,0.967,0.000,0
1.81,Fazilat,AUIT_Multi,CBA,0.940,1.583,0.515,3.1,11.8,0.961,0.748,0.952,1.108,1.549,0.995,World,Wall4m,50.6,17.8,0.942,0.509,0,0,None,None,0,1,0,0,1.0054,1.8547,0.815,0.000,0
1.91,Fazilat,AUIT_Multi,CBA,0.938,1.583,0.516,2.1,11.7,0.965,0.844,0.962,1.146,1.566,1.162,World,Wall4m,47.2,18.7,0.863,0.678,0,0,None,None,0,1,0,0,0.9880,1.7669,0.771,0.000,0
2.00,Fazilat,AUIT_Multi,CBA,0.934,1.583,0.518,359.9,11.4,0.957,0.943,0.994,1.191,1.580,1.299,World,Wall4m,42.0,21.3,0.798,0.822,0,0,None,None,0,1,0,1,1.0736,1.4880,0.744,0.000,0
2.10,Fazilat,AUIT_Multi,CBA,0.929,1.583,0.519,358.1,11.3,0.938,1.041,1.033,1.197,1.583,1.317,World,Wall4m,35.3,23.2,0.748,0.842,0,0,None,None,0,1,0,1,1.1062,0.1973,0.664,0.000,0
2.21,Fazilat,AUIT_Multi,CBA,0.925,1.583,0.519,356.8,11.3,0.932,1.152,1.041,1.197,1.583,1.318,World,Wall4m,28.5,24.7,0.677,0.844,0,0,None,None,0,1,0,1,0.9993,0.0179,0.577,0.000,0
2.31,Fazilat,AUIT_Multi,CBA,0.922,1.583,0.520,356.2,11.4,0.932,1.249,1.046,1.197,1.583,1.319,World,Wall4m,21.5,25.4,0.623,0.845,0,0,None,None,1,0,0,0,0.9976,0.0008,0.506,0.000,0
2.41,Fazilat,AUIT_Multi,CBA,0.919,1.583,0.521,355.7,11.4,0.932,1.346,1.052,1.197,1.583,1.319,World,Wall4m,13.7,26.0,0.581,0.845,0,0,None,None,1,0,0,0,1.0036,0.0004,0.444,0.000,0
2.50,Fazilat,AUIT_Multi,CBA,0.917,1.582,0.521,355.7,11.7,0.933,1.444,1.058,1.197,1.583,1.319,World,Quad,6.5,26.3,0.554,0.845,0,0,None,None,1,0,0,0,1.0116,0.0023,0.396,0.000,0
2.60,Fazilat,AUIT_Multi,CBA,0.916,1.582,0.521,356.0,12.0,0.941,1.541,1.061,1.197,1.582,1.319,World,Quad,10.1,26.2,0.541,0.845,0,0,None,None,1,0,0,0,0.9976,0.0050,0.366,0.781,0
2.71,Fazilat,AUIT_Multi,CBA,0.916,1.582,0.522,356.6,12.0,0.525,1.578,1.365,1.197,1.582,1.319,World,Wall4m,24.3,25.7,0.929,0.845,0,0,None,None,1,0,1,0,4.6451,0.0023,0.674,0.000,0
2.81,Fazilat,AUIT_Multi,CBA,0.916,1.582,0.522,357.2,11.8,0.503,1.582,1.368,1.200,1.582,1.318,World,Wall4m,25.9,25.2,0.942,0.846,0,0,None,None,0,0,0,0,0.2338,0.0248,0.699,0.000,0
2.91,Fazilat,AUIT_Multi,CBA,0.916,1.582,0.522,357.7,11.9,0.504,1.582,1.366,1.214,1.582,1.318,World,Wall4m,26.4,25.6,0.940,0.850,0,0,None,None,0,0,0,0,0.0255,0.1444,0.712,0.000,0
3.00,Fazilat,AUIT_Multi,CBA,0.916,1.582,0.522,358.1,12.0,0.504,1.582,1.366,1.229,1.582,1.319,World,Wall4m,26.8,26.1,0.940,0.856,0,0,None,None,0,0,0,0,0.0005,0.1590,0.727,0.000,0
3.10,Fazilat,AUIT_Multi,CBA,0.915,1.582,0.521,357.7,12.0,0.503,1.582,1.366,1.238,1.582,1.319,World,Wall4m,26.4,27.0,0.940,0.861,0,0,None,None,0,0,0,0,0.0069,0.0909,0.737,0.000,0
3.21,Fazilat,AUIT_Multi,CBA,0.914,1.582,0.520,357.1,12.0,0.487,1.582,1.364,1.238,1.582,1.319,World,Wall4m,26.6,27.5,0.946,0.863,0,0,None,None,0,0,0,0,0.1491,0.0020,0.753,0.000,0
3.31,Fazilat,AUIT_Multi,CBA,0.912,1.582,0.518,356.8,11.9,0.476,1.582,1.349,1.236,1.582,1.319,World,Wall4m,27.0,27.8,0.938,0.864,0,0,None,None,0,0,0,0,0.1868,0.0195,0.761,0.000,0
3.41,Fazilat,AUIT_Multi,CBA,0.912,1.583,0.516,357.8,11.7,0.471,1.582,1.351,1.237,1.582,1.319,World,Wall4m,28.0,26.8,0.944,0.865,0,0,None,None,0,0,0,0,0.0603,0.0034,0.766,0.000,0
3.50,Fazilat,AUIT_Multi,CBA,0.914,1.583,0.515,359.3,11.5,0.482,1.583,1.364,1.255,1.583,1.319,World,Wall4m,28.5,26.2,0.953,0.874,0,0,None,None,0,0,0,0,0.1795,0.1895,0.774,0.000,0
3.60,Fazilat,AUIT_Multi,CBA,0.916,1.583,0.513,0.9,11.4,0.509,1.583,1.364,1.281,1.583,1.319,World,Wall4m,28.7,25.9,0.943,0.885,0,0,None,None,0,0,0,0,0.2710,0.2677,0.774,0.000,0
3.71,Fazilat,AUIT_Multi,CBA,0.920,1.583,0.511,3.4,11.2,0.546,1.583,1.362,1.319,1.583,1.320,World,Wall4m,29.1,25.3,0.930,0.903,0,0,None,None,0,0,0,0,0.3363,0.3407,0.774,0.000,0
3.81,Fazilat,AUIT_Multi,CBA,0.925,1.583,0.508,5.9,10.9,0.587,1.583,1.363,1.364,1.583,1.321,World,Wall4m,29.3,24.9,0.919,0.924,0,0,None,None,0,1,0,1,0.4239,0.4648,0.778,0.000,0
