Time,ParticipantID,Scenario,Sequence,HeadX,HeadY,HeadZ,HeadYaw,HeadPitch,VideoX,VideoY,VideoZ,InstX,InstY,InstZ,GazeTarget,HitObjectName,AngleToVideo,AngleToInst,VideoDist,InstDist,VideoOcc,InstOcc,VideoOccHitName,InstOccHitName,VideoInCone,InstInCone,VideoVisible,InstVisible,VideoSpeed,InstSpeed,PanelSeparation,ScreenOverlapPct,BothVisible
0.00,Hamad,AUIT_Multi,BCA,1.000,0.000,0.500,0.0,0.0,-2.197,1.378,13.812,-26.067,0.000,792.755,World,CabinetDCorner01,14.7,2.0,13.760,792.717,1,1,CabinetD01,CabinetDCorner01,1,1,0,0,0.0000,0.0000,779.309,0.000,0
0.17,Hamad,AUIT_Multi,BCA,1.000,0.000,0.500,0.0,0.0,-1.463,1.055,10.528,-18.765,0.000,583.235,World,CabinetDCorner01,15.0,1.9,10.380,583.070,1,1,CabinetD01,CabinetDCorner01,1,1,0,0,19.7669,1225.8310,572.969,0.047,0
0.20,Hamad,AUIT_Multi,BCA,1.000,0.000,0.500,0.0,0.0,0.263,0.131,2.645,1.079,0.000,12.317,World,CabinetDCorner01,19.2,0.4,2.272,11.817,1,1,CabinetD01,Floor,1,1,0,0,260.5623,18326.0300,9.707,0.000,0
0.31,Hamad,AUIT_Multi,BCA,1.000,0.000,0.500,0.0,0.0,0.485,0.009,1.664,1.466,0.018,1.579,World,CabinetDCorner01,23.9,23.4,1.273,1.176,1,0,CabinetD02,None,1,1,0,1,9.4706,100.4504,0.985,0.000,0
0.41,Hamad,AUIT_Multi,BCA,1.000,0.000,0.500,0.0,0.0,0.510,0.001,1.604,1.432,0.099,1.481,World,CabinetDCorner01,23.9,24.3,1.208,1.077,1,0,CabinetD02,None,1,1,0,1,0.6784,1.3536,0.936,0.000,0
0.50,Hamad,AUIT_Multi,BCA,1.000,0.000,0.500,0.0,0.0,0.513,0.000,1.597,1.426,0.117,1.461,World,CabinetDCorner01,23.9,24.7,1.201,1.057,1,0,CabinetD02,None,1,1,0,1,0.0733,0.2884,0.931,0.000,0
0.60,Hamad,AUIT_Multi,BCA,1.000,0.000,0.500,0.0,0.0,0.513,0.000,1.597,1.426,0.120,1.458,World,CabinetDCorner01,23.9,24.8,1.200,1.055,1,0,CabinetD02,None,1,1,0,1,0.0081,0.0383,0.931,0.000,0
0.71,Hamad,AUIT_Multi,BCA,1.000,0.000,0.500,0.0,0.0,0.555,-0.003,1.529,1.305,0.079,1.272,World,CabinetDCorner01,23.4,22.2,1.121,0.834,1,0,Floor,None,1,1,0,1,0.7188,2.0278,0.797,0.000,0
0.81,Hamad,AUIT_Multi,BCA,1.000,0.000,0.500,0.0,0.0,0.597,-0.007,1.464,1.188,0.040,1.094,World,CabinetDCorner01,22.7,18.0,1.045,0.624,1,0,Floor,None,1,1,0,0,0.7824,2.2045,0.700,0.000,0
0.91,Hamad,AUIT_Multi,BCA,1.000,0.000,0.500,0.0,0.0,0.639,-0.010,1.400,1.251,0.066,1.219,World,CabinetDCorner01,21.9,19.8,0.970,0.764,1,0,Floor,None,1,1,0,0,0.7965,1.4808,0.643,0.000,0
1.01,Hamad,AUIT_Multi,BCA,1.295,1.594,0.360,21.1,355.7,0.694,0.061,1.336,1.369,0.166,1.355,World,CabinetDCorner02,72.5,61.0,1.914,1.742,0,0,None,None,0,0,0,0,1.0870,2.0223,0.683,0.000,0
1.13,Hamad,AUIT_Multi,BCA,1.261,1.595,0.362,6.8,355.6,0.877,0.490,1.100,1.999,1.479,1.287,World,CabinetDCorner02,64.3,33.3,1.382,1.188,0,0,None,None,0,0,0,0,4.3223,12.0572,1.507,0.000,0
1.22,Hamad,AUIT_Multi,BCA,1.246,1.595,0.361,359.3,354.8,0.861,0.469,1.077,1.808,1.537,1.211,World,Wall4m,63.7,35.2,1.389,1.021,0,0,None,None,0,0,0,0,0.3926,2.4040,1.434,0.000,0
1.33,Hamad,AUIT_Multi,BCA,1.242,1.597,0.360,359.4,354.3,0.885,0.455,0.997,1.573,1.576,1.064,World,Wall4m,67.3,26.8,1.355,0.778,0,0,None,None,0,0,0,0,0.7752,2.5557,1.316,0.000,0
1.41,Hamad,AUIT_Multi,BCA,1.247,1.596,0.361,2.1,354.5,0.927,0.449,0.944,1.559,1.597,1.110,World,CabinetDCorner02,69.8,21.2,1.326,0.811,0,0,None,None,0,1,0,1,0.8039,0.6217,1.321,0.000,0
1.52,Hamad,AUIT_Multi,BCA,1.254,1.596,0.361,5.3,354.3,0.980,0.448,0.875,1.737,1.596,1.296,World,CabinetDCorner02,73.3,22.7,1.288,1.053,0,0,None,None,0,1,0,1,0.7824,2.3048,1.438,0.000,0
1.61,Hamad,AUIT_Multi,BCA,1.257,1.597,0.358,7.1,353.7,1.017,0.446,0.825,1.809,1.597,1.323,World,CabinetDCorner02,76.1,23.5,1.265,1.112,0,0,None,None,0,1,0,1,0.7446,0.9257,1.483,0.000,0
1.72,Hamad,AUIT_Multi,BCA,1.262,1.598,0.357,9.4,353.5,1.059,1.124,0.895,1.775,1.598,1.255,World,CabinetDCorner02,53.8,21.3,0.745,1.034,0,0,None,None,0,1,0,1,6.1370,0.6898,0.931,0.000,0
1.80,Hamad,AUIT_Multi,BCA,1.264,1.598,0.356,10.9,353.2,1.081,1.176,0.898,1.672,1.600,1.125,World,CabinetDCorner02,51.3,18.3,0.711,0.870,0,0,None,None,0,1,0,1,0.6797,1.9927,0.762,0.000,0
1.91,Hamad,AUIT_Multi,BCA,1.265,1.599,0.354,10.8,352.5,1.101,1.251,0.905,1.702,1.601,1.112,World,CabinetDCorner02,46.7,20.6,0.673,0.876,0,0,None,None,0,1,0,1,0.6960,0.2930,0.726,0.000,0
