Time,ParticipantID,Scenario,Sequence,HeadX,HeadY,HeadZ,HeadYaw,HeadPitch,VideoX,VideoY,VideoZ,InstX,InstY,InstZ,GazeTarget,HitObjectName,AngleToVideo,AngleToInst,VideoDist,InstDist,VideoOcc,InstOcc,VideoOccHitName,InstOccHitName,VideoInCone,InstInCone,VideoVisible,InstVisible,VideoSpeed,InstSpeed,PanelSeparation,ScreenOverlapPct,BothVisible
0.00,Fazilat,AUIT_Single,BCA,1.000,0.000,0.500,0.0,0.0,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetDCorner01,14.7,NaN,13.760,NaN,1,0,CabinetD01,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
0.35,Fazilat,AUIT_Single,BCA,1.000,0.000,0.500,0.0,0.0,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetDCorner01,14.7,NaN,13.760,NaN,1,0,CabinetD01,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
0.37,Fazilat,AUIT_Single,BCA,1.000,0.000,0.500,0.0,0.0,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetDCorner01,14.7,NaN,13.760,NaN,1,0,CabinetD01,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
0.38,Fazilat,AUIT_Single,BCA,1.000,0.000,0.500,0.0,0.0,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetDCorner01,14.7,NaN,13.760,NaN,1,0,CabinetD01,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
0.41,Fazilat,AUIT_Single,BCA,1.000,0.000,0.500,0.0,0.0,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetDCorner01,14.7,NaN,13.760,NaN,1,0,CabinetD01,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
0.50,Fazilat,AUIT_Single,BCA,1.000,0.000,0.500,0.0,0.0,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetDCorner01,14.7,NaN,13.760,NaN,1,0,CabinetD01,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
0.60,Fazilat,AUIT_Single,BCA,1.000,0.000,0.500,0.0,0.0,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetDCorner01,14.7,NaN,13.760,NaN,1,0,CabinetD01,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
0.71,Fazilat,AUIT_Single,BCA,1.000,0.000,0.500,0.0,0.0,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetDCorner01,14.7,NaN,13.760,NaN,1,0,CabinetD01,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
1.11,Fazilat,AUIT_Single,BCA,1.000,0.000,0.500,0.0,0.0,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetDCorner01,14.7,NaN,13.760,NaN,1,0,CabinetD01,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
1.13,Fazilat,AUIT_Single,BCA,1.014,1.578,0.507,267.0,4.5,-2.197,1.378,13.812,NaN,NaN,NaN,World,Refrigerator03_Door01,79.4,NaN,13.689,NaN,1,0,CabinetD05Door,None,0,0,0,0,0.0000,NaN,NaN,NaN,0
1.18,Fazilat,AUIT_Single,BCA,1.015,1.578,0.507,267.1,4.5,-2.197,1.378,13.812,NaN,NaN,NaN,World,Refrigerator03_Door01,79.3,NaN,13.689,NaN,1,0,CabinetD05Door,None,0,0,0,0,0.0000,NaN,NaN,NaN,0
1.19,Fazilat,AUIT_Single,BCA,1.016,1.577,0.505,267.4,4.5,-2.197,1.378,13.812,NaN,NaN,NaN,World,Refrigerator03_Door01,79.0,NaN,13.691,NaN,1,0,CabinetD05Door,None,0,0,0,0,0.0000,NaN,NaN,NaN,0
1.21,Fazilat,AUIT_Single,BCA,1.016,1.577,0.504,267.5,4.5,-2.197,1.378,13.812,NaN,NaN,NaN,World,Refrigerator03_Door01,78.9,NaN,13.692,NaN,1,0,CabinetD05Door,None,0,0,0,0,0.0000,NaN,NaN,NaN,0
1.31,Fazilat,AUIT_Single,BCA,1.019,1.577,0.502,267.9,4.4,-2.197,1.378,13.812,NaN,NaN,NaN,World,Refrigerator03_Door01,78.5,NaN,13.695,NaN,1,0,CabinetD05Door,None,0,0,0,0,0.0000,NaN,NaN,NaN,0
1.40,Fazilat,AUIT_Single,BCA,1.022,1.577,0.501,268.3,4.4,-2.197,1.378,13.812,NaN,NaN,NaN,World,Refrigerator03,78.1,NaN,13.696,NaN,1,0,CabinetD05Door,None,0,0,0,0,0.0000,NaN,NaN,NaN,0
1.50,Fazilat,AUIT_Single,BCA,1.023,1.577,0.501,268.4,4.2,-2.197,1.378,13.812,NaN,NaN,NaN,World,Refrigerator03,77.9,NaN,13.696,NaN,1,0,CabinetD05,None,0,0,0,0,0.0000,NaN,NaN,NaN,0
1.61,Fazilat,AUIT_Single,BCA,1.023,1.578,0.503,268.5,4.1,-2.197,1.378,13.812,NaN,NaN,NaN,World,Refrigerator03,77.9,NaN,13.694,NaN,1,0,CabinetD05,None,0,0,0,0,0.0000,NaN,NaN,NaN,0
1.71,Fazilat,AUIT_Single,BCA,1.023,1.578,0.505,268.1,4.2,-2.197,1.378,13.812,NaN,NaN,NaN,World,Refrigerator03,78.2,NaN,13.692,NaN,1,0,CabinetD05,None,0,0,0,0,0.0000,NaN,NaN,NaN,0
1.81,Fazilat,AUIT_Single,BCA,1.022,1.578,0.507,266.9,4.2,-2.197,1.378,13.812,NaN,NaN,NaN,World,Refrigerator03,79.4,NaN,13.691,NaN,1,0,CabinetD05,None,0,0,0,0,0.0000,NaN,NaN,NaN,0
1.91,Fazilat,AUIT_Single,BCA,1.020,1.577,0.508,265.7,4.7,-2.197,1.378,13.812,NaN,NaN,NaN,World,Refrigerator03,80.7,NaN,13.689,NaN,1,0,CabinetD05,None,0,0,0,0,0.0000,NaN,NaN,NaN,0
2.00,Fazilat,AUIT_Single,BCA,1.016,1.576,0.509,263.9,5.3,-2.197,1.378,13.812,NaN,NaN,NaN,World,Refrigerator03,82.4,NaN,13.687,NaN,1,0,CabinetD05,None,0,0,0,0,0.0000,NaN,NaN,NaN,0
2.10,Fazilat,AUIT_Single,BCA,1.013,1.575,0.512,262.8,5.6,-2.197,1.378,13.812,NaN,NaN,NaN,World,Refrigerator03,83.6,NaN,13.684,NaN,1,0,CabinetD05,None,0,0,0,0,0.0000,NaN,NaN,NaN,0
2.21,Fazilat,AUIT_Single,BCA,1.008,1.575,0.523,266.0,5.6,-2.197,1.378,13.812,NaN,NaN,NaN,World,Refrigerator03,80.4,NaN,13.671,NaN,1,0,CabinetD05,None,0,0,0,0,0.0000,NaN,NaN,NaN,0
2.31,Fazilat,AUIT_Single,BCA,1.007,1.576,0.538,272.7,5.1,-2.197,1.378,13.812,NaN,NaN,NaN,World,Refrigerator03,73.8,NaN,13.657,NaN,1,0,CabinetD05,None,0,0,0,0,0.0000,NaN,NaN,NaN,0
2.41,Fazilat,AUIT_Single,BCA,1.007,1.577,0.545,274.3,4.6,-2.197,1.378,13.812,NaN,NaN,NaN,World,Refrigerator03,72.1,NaN,13.651,NaN,1,0,CabinetD05,None,0,0,0,0,0.0000,NaN,NaN,NaN,0
2.50,Fazilat,AUIT_Single,BCA,1.008,1.577,0.548,274.4,4.7,-2.197,1.378,13.812,NaN,NaN,NaN,World,Refrigerator03,72.1,NaN,13.647,NaN,1,0,CabinetD05,None,0,0,0,0,0.0000,NaN,NaN,NaN,0
