Time,ParticipantID,Scenario,Sequence,HeadX,HeadY,HeadZ,HeadYaw,HeadPitch,VideoX,VideoY,VideoZ,InstX,InstY,InstZ,GazeTarget,HitObjectName,AngleToVideo,AngleToInst,VideoDist,InstDist,VideoOcc,InstOcc,VideoOccHitName,InstOccHitName,VideoInCone,InstInCone,VideoVisible,InstVisible,VideoSpeed,InstSpeed,PanelSeparation,ScreenOverlapPct,BothVisible
0.00,Marianne,AUIT_Multi,CAB,1.000,0.000,1.000,0.0,0.0,-2.197,1.378,13.812,-26.067,0.000,792.755,World,CabinetD01,15.2,2.0,13.277,792.217,1,1,CabinetD01,CabinetD01,1,1,0,0,0.0000,0.0000,779.309,0.000,0
0.18,Marianne,AUIT_Multi,CAB,1.000,0.000,1.000,0.0,0.0,-1.422,1.055,10.573,-18.765,0.000,583.367,World,CabinetD01,15.4,1.9,9.931,582.703,1,1,CabinetD01,CabinetD01,1,1,0,0,18.5286,1160.2550,573.057,0.047,0
0.24,Marianne,AUIT_Multi,CAB,1.000,0.000,1.000,0.0,0.0,0.295,0.119,2.984,1.293,0.000,6.441,World,CabinetD01,19.8,3.1,2.109,5.449,1,1,CabinetD01,Floor,1,1,0,0,142.4165,10489.7900,3.600,0.000,0
0.30,Marianne,AUIT_Multi,CAB,1.000,0.000,1.000,0.0,0.0,0.473,0.012,2.179,0.843,-0.001,12.419,World,CabinetD01,24.1,0.8,1.292,11.420,1,1,CabinetD01,Floor,1,1,0,0,12.7889,92.2638,10.246,0.000,0
0.41,Marianne,AUIT_Multi,CAB,1.000,0.000,1.000,0.0,0.0,0.500,0.001,2.099,1.240,0.114,2.150,World,CabinetD01,24.4,13.0,1.207,1.180,1,1,CabinetD01,CabinetDCorner01,1,1,0,0,0.7669,92.3322,0.750,0.000,0
0.51,Marianne,AUIT_Multi,CAB,1.000,0.000,1.000,0.0,0.0,0.503,0.000,2.093,1.216,0.122,1.524,World,CabinetD01,24.5,25.4,1.201,0.580,1,0,CabinetD01,None,1,0,0,0,0.0687,6.4656,0.921,0.000,0
0.61,Marianne,AUIT_Multi,CAB,1.000,0.000,1.000,0.0,0.0,0.503,0.000,2.092,1.216,0.120,1.479,World,CabinetD01,24.5,27.3,1.200,0.539,1,0,CabinetD01,None,1,0,0,0,0.0075,0.4593,0.948,0.000,0
0.70,Marianne,AUIT_Multi,CAB,1.000,0.000,1.000,0.0,0.0,0.543,0.000,2.029,1.134,0.079,1.549,World,CabinetD01,23.9,15.8,1.126,0.571,1,0,CabinetD01,None,1,1,0,0,0.7668,1.1868,0.766,0.000,0
0.80,Marianne,AUIT_Multi,CAB,1.000,0.000,1.000,0.0,0.0,0.582,0.000,1.969,1.055,0.039,1.616,World,CabinetD01,23.3,6.3,1.055,0.620,1,1,CabinetD01,CabinetDCorner01,1,1,0,0,0.7412,1.1425,0.591,0.000,0
0.91,Marianne,AUIT_Multi,CAB,1.000,0.000,1.000,0.0,0.0,0.628,0.000,1.900,1.119,0.076,1.549,World,CabinetD01,22.5,14.5,0.974,0.567,1,0,CabinetD01,None,1,1,0,0,0.7426,0.9016,0.609,0.000,0
1.31,Marianne,AUIT_Multi,CAB,1.035,1.704,0.882,358.6,14.9,0.649,0.000,1.878,1.177,0.110,1.492,World,CabinetD05Door,45.5,54.5,2.011,1.713,1,0,CabinetD01,None,0,0,0,0,0.0769,0.2220,0.664,0.000,0
1.37,Marianne,AUIT_Multi,CAB,1.034,1.718,0.890,356.6,6.3,0.822,1.615,1.326,1.211,1.621,1.298,World,CabinetD05Door,22.9,27.1,0.495,0.455,0,0,None,None,1,0,0,0,27.6184,24.5316,0.390,0.000,0
1.40,Marianne,AUIT_Multi,CAB,1.035,1.719,0.894,356.4,5.5,0.903,0.790,1.329,1.151,1.060,1.434,World,CabinetD05Door,59.3,46.5,1.035,0.860,0,0,None,None,0,0,0,0,29.9727,20.9701,0.382,0.000,0
1.43,Marianne,AUIT_Multi,CAB,1.035,1.719,0.895,356.5,5.4,0.906,0.463,1.358,1.145,0.963,1.441,World,CabinetD05Door,64.2,49.8,1.346,0.939,0,0,None,None,0,0,0,0,10.9153,3.2391,0.561,0.000,0
1.46,Marianne,AUIT_Multi,CAB,1.035,1.719,0.895,356.5,5.4,0.865,0.543,1.489,1.139,1.149,1.440,World,CabinetD05Door,57.6,42.3,1.329,0.796,0,0,None,None,0,0,0,0,5.7808,6.7304,0.667,0.000,0
1.51,Marianne,AUIT_Multi,CAB,1.035,1.719,0.894,356.4,5.6,0.835,0.533,1.604,1.129,1.384,1.436,World,CabinetD05Door,53.4,28.7,1.397,0.644,1,0,CabinetD01,None,0,0,0,0,2.0693,4.0921,0.916,0.000,0
1.62,Marianne,AUIT_Multi,CAB,1.034,1.719,0.894,356.2,5.2,0.782,0.971,1.735,1.154,1.692,1.538,World,CabinetD05Door,37.1,14.6,1.153,0.656,0,0,None,None,0,1,0,0,4.1230,2.9191,0.834,0.000,0
1.71,Marianne,AUIT_Multi,CAB,1.034,1.720,0.895,355.9,5.0,0.827,1.556,1.524,1.169,1.715,1.588,World,CabinetD05Door,16.5,15.7,0.682,0.705,0,0,None,None,1,1,0,0,7.4272,0.6700,0.382,0.000,0
1.82,Marianne,AUIT_Multi,CAB,1.034,1.719,0.895,355.9,5.7,0.941,1.704,1.166,1.171,1.719,1.597,World,Quad,14.9,16.2,0.287,0.715,0,0,None,None,1,1,0,0,3.6251,0.0915,0.488,0.000,0
1.90,Marianne,AUIT_Multi,CAB,1.033,1.720,0.896,355.3,5.0,0.907,1.717,1.256,1.171,1.719,1.596,World,Quad,15.3,16.6,0.382,0.714,0,0,None,None,1,1,0,0,1.1623,0.0060,0.431,0.000,0
2.01,Marianne,AUIT_Multi,CAB,1.032,1.720,0.895,355.0,5.0,0.898,1.716,1.304,1.144,1.693,1.520,World,Quad,13.9,15.3,0.431,0.636,0,0,None,None,1,1,0,0,0.4468,0.7606,0.329,0.000,0
2.13,Marianne,AUIT_Multi,CAB,1.028,1.723,0.889,356.5,4.8,0.908,1.716,1.307,1.119,1.668,1.423,World,Quad,13.1,13.2,0.435,0.545,0,0,None,None,1,1,0,0,0.0973,0.9240,0.246,0.000,0
2.21,Marianne,AUIT_Multi,CAB,1.022,1.725,0.887,357.1,4.0,0.907,1.716,1.339,1.160,1.710,1.479,World,Quad,11.7,16.3,0.466,0.608,0,0,None,None,1,1,0,0,0.3849,0.9551,0.290,0.000,0
2.32,Marianne,AUIT_Multi,CAB,1.009,1.727,0.886,359.2,4.3,0.934,1.717,1.290,1.168,1.724,1.427,World,Quad,10.1,17.7,0.411,0.564,0,0,None,None,1,1,0,0,0.5023,0.4870,0.271,0.000,0
2.40,Marianne,AUIT_Multi,CAB,0.995,1.727,0.886,1.4,4.0,0.931,1.717,1.341,1.168,1.726,1.417,World,Quad,9.7,17.1,0.459,0.558,0,0,None,None,1,1,0,0,0.6069,0.1233,0.249,0.000,0
2.52,Marianne,AUIT_Multi,CAB,0.973,1.733,0.887,4.5,1.1,0.952,1.717,1.337,1.158,1.729,1.373,World,Quad,7.3,16.4,0.451,0.520,0,0,None,None,1,1,0,0,0.1886,0.4069,0.210,0.000,0
2.60,Marianne,AUIT_Multi,CAB,0.956,1.734,0.887,8.4,359.1,0.975,1.718,1.302,1.158,1.732,1.357,World,Quad,6.6,14.9,0.416,0.512,0,0,None,None,1,1,0,0,0.5006,0.1958,0.191,0.000,0
2.71,Marianne,AUIT_Multi,CAB,0.936,1.734,0.883,12.9,354.8,1.000,1.718,1.255,1.165,1.735,1.354,World,Quad,8.2,14.0,0.377,0.524,0,0,None,None,1,1,0,0,0.4820,0.0719,0.193,1.000,0
2.82,Marianne,AUIT_Multi,CAB,0.926,1.732,0.866,14.5,356.1,1.015,1.717,1.246,1.183,1.735,1.340,World,Quad,6.2,14.4,0.391,0.539,0,0,None,None,1,1,0,0,0.1515,0.2083,0.193,1.000,0
2.91,Marianne,AUIT_Multi,CAB,0.920,1.729,0.837,10.8,3.3,0.976,1.722,1.293,1.188,1.732,1.336,World,Quad,4.4,17.9,0.459,0.566,0,0,None,None,1,1,0,0,0.7291,0.0804,0.216,0.000,0
3.02,Marianne,AUIT_Multi,CAB,0.917,1.733,0.797,7.6,1.7,0.845,1.730,1.443,1.187,1.732,1.334,World,Quad,14.1,19.1,0.650,0.600,0,0,None,None,1,1,0,0,1.7940,0.0238,0.359,0.000,0
