Time,ParticipantID,Scenario,Sequence,HeadX,HeadY,HeadZ,HeadYaw,HeadPitch,VideoX,VideoY,VideoZ,InstX,InstY,InstZ,GazeTarget,HitObjectName,AngleToVideo,AngleToInst,VideoDist,InstDist,VideoOcc,InstOcc,VideoOccHitName,InstOccHitName,VideoInCone,InstInCone,VideoVisible,InstVisible,VideoSpeed,InstSpeed,PanelSeparation,ScreenOverlapPct,BothVisible
0.00,Marianne,Static,CBA,1.000,0.000,1.000,0.0,0.0,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetD01,15.2,NaN,13.277,NaN,1,0,CabinetD01,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
0.16,Marianne,Static,CBA,1.000,0.000,1.000,0.0,0.0,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetD01,15.2,NaN,13.277,NaN,1,0,CabinetD01,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
0.21,Marianne,Static,CBA,1.000,0.000,1.000,0.0,0.0,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetD01,15.2,NaN,13.277,NaN,1,0,CabinetD01,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
0.30,Marianne,Static,CBA,1.000,0.000,1.000,0.0,0.0,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetD01,15.2,NaN,13.277,NaN,1,0,CabinetD01,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
0.40,Marianne,Static,CBA,1.000,0.000,1.000,0.0,0.0,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetD01,15.2,NaN,13.277,NaN,1,0,CabinetD01,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
0.51,Marianne,Static,CBA,1.000,0.000,1.000,0.0,0.0,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetD01,15.2,NaN,13.277,NaN,1,0,CabinetD01,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
0.61,Marianne,Static,CBA,1.000,0.000,1.000,0.0,0.0,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetD01,15.2,NaN,13.277,NaN,1,0,CabinetD01,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
0.71,Marianne,Static,CBA,1.000,0.000,1.000,0.0,0.0,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetD01,15.2,NaN,13.277,NaN,1,0,CabinetD01,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
0.80,Marianne,Static,CBA,1.000,0.000,1.000,0.0,0.0,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetD01,15.2,NaN,13.277,NaN,1,0,CabinetD01,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
0.90,Marianne,Static,CBA,0.405,1.740,0.762,6.6,349.7,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetD06Door,21.4,NaN,13.312,NaN,1,0,CabinetD06Door,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
1.00,Marianne,Static,CBA,0.406,1.728,0.750,6.3,357.2,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetD06,18.1,NaN,13.323,NaN,1,0,CabinetD06Door,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
1.10,Marianne,Static,CBA,0.406,1.726,0.743,6.6,359.7,-2.197,1.378,13.812,NaN,NaN,NaN,World,Wall4m,18.0,NaN,13.331,NaN,1,0,CabinetD06Door,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
1.21,Marianne,Static,CBA,0.408,1.721,0.737,6.5,2.6,-2.197,1.378,13.812,NaN,NaN,NaN,World,Wall4m,17.8,NaN,13.336,NaN,1,0,CabinetD06Door,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
1.31,Marianne,Static,CBA,0.410,1.724,0.741,5.7,1.6,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetD06,16.9,NaN,13.333,NaN,1,0,CabinetD06Door,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
1.41,Marianne,Static,CBA,0.413,1.729,0.749,4.7,359.0,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetD06,16.2,NaN,13.326,NaN,1,0,CabinetD06Door,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
1.50,Marianne,Static,CBA,0.419,1.732,0.758,5.4,357.5,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetD06,17.2,NaN,13.319,NaN,1,0,CabinetD06,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
1.60,Marianne,Static,CBA,0.428,1.732,0.764,6.5,357.6,-2.197,1.378,13.812,NaN,NaN,NaN,World,Wall4m,18.2,NaN,13.314,NaN,1,0,CabinetD06,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
