Time,ParticipantID,Scenario,Sequence,HeadX,HeadY,HeadZ,HeadYaw,HeadPitch,VideoX,VideoY,VideoZ,InstX,InstY,InstZ,GazeTarget,HitObjectName,AngleToVideo,AngleToInst,VideoDist,InstDist,VideoOcc,InstOcc,VideoOccHitName,InstOccHitName,VideoInCone,InstInCone,VideoVisible,InstVisible,VideoSpeed,InstSpeed,PanelSeparation,ScreenOverlapPct,BothVisible
0.00,Negin,AUIT_Multi,CBA,1.000,0.000,1.000,0.0,0.0,-2.197,1.378,13.812,-26.067,0.000,792.755,World,CabinetD01,15.2,2.0,13.277,792.217,1,1,CabinetD01,CabinetD01,1,1,0,0,0.0000,0.0000,779.309,0.000,0
0.16,Negin,AUIT_Multi,CBA,1.000,0.000,1.000,0.0,0.0,-1.422,1.055,10.573,-18.765,0.000,583.367,World,CabinetD01,15.4,1.9,9.931,582.703,1,1,CabinetD01,CabinetD01,1,1,0,0,21.4090,1340.6250,573.057,0.047,0
0.20,Negin,AUIT_Multi,CBA,1.000,0.000,1.000,0.0,0.0,0.360,0.080,2.690,-17.313,0.000,539.361,World,CabinetD01,20.9,1.9,1.809,538.673,1,1,CabinetD01,Floor,1,1,0,0,177.1045,957.9018,536.962,0.000,0
0.31,Negin,AUIT_Multi,CBA,1.000,0.000,1.000,0.0,0.0,0.481,0.007,2.142,-13.683,0.000,433.958,World,CabinetD01,24.5,1.9,1.254,433.207,1,1,CabinetD01,Floor,1,1,0,0,5.1055,950.7748,432.049,0.000,0
0.41,Negin,AUIT_Multi,CBA,1.000,0.000,1.000,0.0,0.0,0.492,0.001,2.094,-11.881,0.000,380.936,World,CabinetD01,24.9,1.9,1.206,380.154,1,1,CabinetD01,Floor,1,1,0,0,0.5125,546.9257,379.044,0.000,0
0.51,Negin,AUIT_Multi,CBA,1.000,0.000,1.000,0.0,0.0,0.493,0.000,2.088,-9.699,0.000,317.159,World,CabinetD01,25.0,1.9,1.201,316.340,1,1,CabinetD01,Floor,1,1,0,0,0.0578,655.8353,315.236,0.000,0
0.60,Negin,AUIT_Multi,CBA,1.000,0.000,1.000,0.0,0.0,0.493,0.000,2.088,-7.712,0.000,258.908,World,CabinetD01,25.0,1.9,1.200,258.055,1,1,CabinetD01,Floor,1,1,0,0,0.0062,599.1663,256.951,0.000,0
0.70,Negin,AUIT_Multi,CBA,1.000,0.000,1.000,0.0,0.0,0.493,0.000,2.088,-5.694,0.000,199.775,World,CabinetD01,25.0,1.9,1.200,198.887,1,1,CabinetD01,Floor,1,1,0,0,0.0006,608.1861,197.784,0.000,0
0.81,Negin,AUIT_Multi,CBA,1.000,0.000,1.000,0.0,0.0,0.493,0.000,2.088,-3.357,0.000,131.368,World,CabinetD01,25.0,1.9,1.200,130.440,1,1,CabinetD01,Floor,0,1,0,0,0.0001,616.6804,129.337,0.000,0
0.90,Negin,AUIT_Multi,CBA,1.000,0.000,1.000,0.0,0.0,0.493,0.000,2.088,-1.695,0.000,82.556,World,CabinetD01,25.0,1.9,1.200,81.601,1,1,CabinetD01,Floor,0,1,0,0,0.0000,535.2656,80.498,0.000,0
