Time,ParticipantID,Scenario,Sequence,HeadX,HeadY,HeadZ,HeadYaw,HeadPitch,VideoX,VideoY,VideoZ,InstX,InstY,InstZ,GazeTarget,HitObjectName,AngleToVideo,AngleToInst,VideoDist,InstDist,VideoOcc,InstOcc,VideoOccHitName,InstOccHitName,VideoInCone,InstInCone,VideoVisible,InstVisible,VideoSpeed,InstSpeed,PanelSeparation,ScreenOverlapPct,BothVisible
0.00,Negin,AUIT_Single,CBA,1.000,0.000,1.000,0.0,0.0,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetD01,15.2,NaN,13.277,NaN,1,0,CabinetD01,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
0.35,Negin,AUIT_Single,CBA,1.000,0.000,1.000,0.0,0.0,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetD01,15.2,NaN,13.277,NaN,1,0,CabinetD01,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
0.37,Negin,AUIT_Single,CBA,1.000,0.000,1.000,0.0,0.0,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetD01,15.2,NaN,13.277,NaN,1,0,CabinetD01,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
0.38,Negin,AUIT_Single,CBA,1.000,0.000,1.000,0.0,0.0,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetD01,15.2,NaN,13.277,NaN,1,0,CabinetD01,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
0.41,Negin,AUIT_Single,CBA,1.000,0.000,1.000,0.0,0.0,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetD01,15.2,NaN,13.277,NaN,1,0,CabinetD01,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
0.51,Negin,AUIT_Single,CBA,1.000,0.000,1.000,0.0,0.0,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetD01,15.2,NaN,13.277,NaN,1,0,CabinetD01,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
0.61,Negin,AUIT_Single,CBA,1.000,0.000,1.000,0.0,0.0,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetD01,15.2,NaN,13.277,NaN,1,0,CabinetD01,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
0.70,Negin,AUIT_Single,CBA,1.000,0.000,1.000,0.0,0.0,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetD01,15.2,NaN,13.277,NaN,1,0,CabinetD01,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
0.80,Negin,AUIT_Single,CBA,1.000,0.000,1.000,0.0,0.0,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetD01,15.2,NaN,13.277,NaN,1,0,CabinetD01,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
1.13,Negin,AUIT_Single,CBA,1.000,0.000,1.000,0.0,0.0,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetD01,15.2,NaN,13.277,NaN,1,0,CabinetD01,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
1.15,Negin,AUIT_Single,CBA,0.649,1.755,0.488,351.6,356.2,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetD06Door,6.5,NaN,13.630,NaN,1,0,CabinetD06Door,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
1.17,Negin,AUIT_Single,CBA,0.649,1.755,0.487,351.7,356.2,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetD06Door,6.6,NaN,13.631,NaN,1,0,CabinetD06Door,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
1.21,Negin,AUIT_Single,CBA,0.650,1.755,0.486,352.0,356.1,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetD06Door,6.9,NaN,13.632,NaN,1,0,CabinetD06Door,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
1.31,Negin,AUIT_Single,CBA,0.652,1.754,0.484,353.5,355.8,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetD06,8.0,NaN,13.634,NaN,1,0,CabinetD06Door,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
1.41,Negin,AUIT_Single,CBA,0.653,1.753,0.483,355.7,356.8,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetD06,9.1,NaN,13.635,NaN,1,0,CabinetD06Door,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
1.51,Negin,AUIT_Single,CBA,0.653,1.753,0.483,356.7,356.8,-2.197,1.378,13.812,NaN,NaN,NaN,World,Wall4m,10.0,NaN,13.636,NaN,1,0,CabinetD06,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
1.61,Negin,AUIT_Single,CBA,0.654,1.753,0.483,356.9,356.9,-2.197,1.378,13.812,NaN,NaN,NaN,World,Wall4m,10.2,NaN,13.636,NaN,1,0,CabinetD06,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
1.75,Negin,AUIT_Single,CBA,0.654,1.753,0.482,357.1,356.9,-2.197,1.378,13.812,NaN,NaN,NaN,World,Wall4m,10.3,NaN,13.637,NaN,1,0,CabinetD06,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
1.80,Negin,AUIT_Single,CBA,0.653,1.753,0.482,356.8,356.8,-2.197,1.378,13.812,NaN,NaN,NaN,World,Video Quad,10.0,NaN,13.637,NaN,1,0,CabinetD06,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
1.91,Negin,AUIT_Single,CBA,0.654,1.752,0.483,356.5,357.6,-2.197,1.378,13.812,NaN,NaN,NaN,World,Video Quad,9.5,NaN,13.636,NaN,1,0,CabinetD06,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
2.01,Negin,AUIT_Single,CBA,0.654,1.751,0.483,356.8,357.9,-2.197,1.378,13.812,NaN,NaN,NaN,World,Video Quad,9.6,NaN,13.635,NaN,1,0,CabinetD06,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
