Time,ParticipantID,Scenario,Sequence,HeadX,HeadY,HeadZ,HeadYaw,HeadPitch,VideoX,VideoY,VideoZ,InstX,InstY,InstZ,GazeTarget,HitObjectName,AngleToVideo,AngleToInst,VideoDist,InstDist,VideoOcc,InstOcc,VideoOccHitName,InstOccHitName,VideoInCone,InstInCone,VideoVisible,InstVisible,VideoSpeed,InstSpeed,PanelSeparation,ScreenOverlapPct,BothVisible
0.00,Negin,Static,CBA,1.000,0.000,1.000,0.0,0.0,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetD01,15.2,NaN,13.277,NaN,1,0,CabinetD01,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
0.13,Negin,Static,CBA,1.000,0.000,1.000,0.0,0.0,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetD01,15.2,NaN,13.277,NaN,1,0,CabinetD01,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
0.20,Negin,Static,CBA,1.000,0.000,1.000,0.0,0.0,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetD01,15.2,NaN,13.277,NaN,1,0,CabinetD01,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
0.31,Negin,Static,CBA,1.000,0.000,1.000,0.0,0.0,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetD01,15.2,NaN,13.277,NaN,1,0,CabinetD01,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
0.41,Negin,Static,CBA,1.000,0.000,1.000,0.0,0.0,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetD01,15.2,NaN,13.277,NaN,1,0,CabinetD01,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
0.51,Negin,Static,CBA,1.000,0.000,1.000,0.0,0.0,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetD01,15.2,NaN,13.277,NaN,1,0,CabinetD01,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
0.60,Negin,Static,CBA,1.000,0.000,1.000,0.0,0.0,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetD01,15.2,NaN,13.277,NaN,1,0,CabinetD01,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
0.70,Negin,Static,CBA,1.000,0.000,1.000,0.0,0.0,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetD01,15.2,NaN,13.277,NaN,1,0,CabinetD01,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
0.81,Negin,Static,CBA,1.000,0.000,1.000,0.0,0.0,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetD01,15.2,NaN,13.277,NaN,1,0,CabinetD01,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
0.91,Negin,Static,CBA,0.721,1.761,0.450,6.2,354.6,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetD05Door,19.8,NaN,13.682,NaN,1,0,CabinetD06Door,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
1.01,Negin,Static,CBA,0.722,1.760,0.450,5.1,354.8,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetD05Door,18.7,NaN,13.682,NaN,1,0,CabinetD06Door,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
1.11,Negin,Static,CBA,0.723,1.758,0.450,4.2,354.7,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetD05Door,17.9,NaN,13.683,NaN,1,0,CabinetD06,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
1.21,Negin,Static,CBA,0.722,1.756,0.451,3.3,355.4,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetD05Door,16.8,NaN,13.682,NaN,1,0,CabinetD06,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
1.30,Negin,Static,CBA,0.721,1.756,0.451,2.7,355.8,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetD05,16.1,NaN,13.681,NaN,1,0,CabinetD06,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
1.40,Negin,Static,CBA,0.717,1.757,0.450,2.3,355.8,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetD05,15.7,NaN,13.682,NaN,1,0,CabinetD06,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
1.51,Negin,Static,CBA,0.711,1.758,0.450,1.1,355.6,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetD05,14.6,NaN,13.681,NaN,1,0,CabinetD06,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
1.61,Negin,Static,CBA,0.707,1.759,0.451,0.6,355.9,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetD05,14.0,NaN,13.679,NaN,1,0,CabinetD06,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
1.71,Negin,Static,CBA,0.703,1.759,0.453,1.2,356.7,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetD05,14.3,NaN,13.676,NaN,1,0,CabinetD06,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
1.81,Negin,Static,CBA,0.699,1.757,0.454,2.1,358.3,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetD05,14.7,NaN,13.673,NaN,1,0,CabinetD06,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
1.90,Negin,Static,CBA,0.693,1.754,0.454,4.9,0.8,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetD05,17.1,NaN,13.672,NaN,1,0,CabinetD06,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
2.01,Negin,Static,CBA,0.686,1.747,0.453,10.7,4.6,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetD05,23.1,NaN,13.672,NaN,1,0,CabinetD06,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
2.11,Negin,Static,CBA,0.679,1.741,0.453,17.6,7.9,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetD05Door,30.3,NaN,13.670,NaN,1,0,CabinetD06,None,0,0,0,0,0.0000,NaN,NaN,NaN,0
2.21,Negin,Static,CBA,0.671,1.733,0.455,24.6,11.0,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetD05Door,37.7,NaN,13.666,NaN,1,0,CabinetD06,None,0,0,0,0,0.0000,NaN,NaN,NaN,0
2.31,Negin,Static,CBA,0.665,1.722,0.457,31.5,15.4,-2.197,1.378,13.812,NaN,NaN,NaN,World,Wall4m,45.2,NaN,13.662,NaN,1,0,CabinetD06,None,0,0,0,0,0.0000,NaN,NaN,NaN,0
2.40,Negin,Static,CBA,0.665,1.709,0.454,39.6,22.0,-2.197,1.378,13.812,NaN,NaN,NaN,World,KitchenOven07,54.3,NaN,13.665,NaN,1,0,CabinetD06,None,0,0,0,0,0.0000,NaN,NaN,NaN,0
2.50,Negin,Static,CBA,0.669,1.702,0.445,46.9,25.4,-2.197,1.378,13.812,NaN,NaN,NaN,World,KitchenOven07,61.6,NaN,13.674,NaN,1,0,CabinetD06,None,0,0,0,0,0.0000,NaN,NaN,NaN,0
2.61,Negin,Static,CBA,0.678,1.698,0.429,50.8,27.5,-2.197,1.378,13.812,NaN,NaN,NaN,World,KitchenOven07,65.5,NaN,13.692,NaN,1,0,CabinetD06,None,0,0,0,0,0.0000,NaN,NaN,NaN,0
2.71,Negin,Static,CBA,0.691,1.700,0.411,51.0,27.3,-2.197,1.378,13.812,NaN,NaN,NaN,World,KitchenOven07,65.7,NaN,13.712,NaN,1,0,CabinetD06,None,0,0,0,0,0.0000,NaN,NaN,NaN,0
2.81,Negin,Static,CBA,0.708,1.702,0.387,52.7,26.4,-2.197,1.378,13.812,NaN,NaN,NaN,World,KitchenOven07,67.1,NaN,13.740,NaN,1,0,CabinetD06,None,0,0,0,0,0.0000,NaN,NaN,NaN,0
2.90,Negin,Static,CBA,0.731,1.703,0.359,54.7,25.6,-2.197,1.378,13.812,NaN,NaN,NaN,World,KitchenOven07,68.8,NaN,13.772,NaN,1,0,CabinetD06,None,0,0,0,0,0.0000,NaN,NaN,NaN,0
3.00,Negin,Static,CBA,0.756,1.706,0.334,55.5,24.5,-2.197,1.378,13.812,NaN,NaN,NaN,World,Wall4m,69.3,NaN,13.802,NaN,1,0,CabinetD06,None,0,0,0,0,0.0000,NaN,NaN,NaN,0
3.11,Negin,Static,CBA,0.780,1.706,0.307,54.3,23.9,-2.197,1.378,13.812,NaN,NaN,NaN,World,Wall4m,68.2,NaN,13.833,NaN,1,0,CabinetD06,None,0,0,0,0,0.0000,NaN,NaN,NaN,0
3.21,Negin,Static,CBA,0.797,1.705,0.290,50.9,23.6,-2.197,1.378,13.812,NaN,NaN,NaN,World,KitchenOven07,65.2,NaN,13.854,NaN,1,0,CabinetD06,None,0,0,0,0,0.0000,NaN,NaN,NaN,0
3.31,Negin,Static,CBA,0.806,1.705,0.279,44.5,22.7,-2.197,1.378,13.812,NaN,NaN,NaN,World,KitchenOven07,59.2,NaN,13.866,NaN,1,0,CabinetD06,None,0,0,0,0,0.0000,NaN,NaN,NaN,0
3.40,Negin,Static,CBA,0.811,1.710,0.271,36.9,20.7,-2.197,1.378,13.812,NaN,NaN,NaN,World,KitchenOven07,51.9,NaN,13.875,NaN,1,0,CabinetD06,None,0,0,0,0,0.0000,NaN,NaN,NaN,0
3.50,Negin,Static,CBA,0.821,1.715,0.262,35.0,20.1,-2.197,1.378,13.812,NaN,NaN,NaN,World,KitchenOven07,50.1,NaN,13.887,NaN,1,0,CabinetD06,None,0,0,0,0,0.0000,NaN,NaN,NaN,0
3.61,Negin,Static,CBA,0.833,1.718,0.250,37.2,19.2,-2.197,1.378,13.812,NaN,NaN,NaN,World,KitchenOven07,51.9,NaN,13.900,NaN,1,0,CabinetD06,None,0,0,0,0,0.0000,NaN,NaN,NaN,0
3.71,Negin,Static,CBA,0.839,1.723,0.242,39.3,17.5,-2.197,1.378,13.812,NaN,NaN,NaN,World,KitchenOven07,53.4,NaN,13.910,NaN,1,0,CabinetD06,None,0,0,0,0,0.0000,NaN,NaN,NaN,0
3.81,Negin,Static,CBA,0.836,1.729,0.235,41.1,15.4,-2.197,1.378,13.812,NaN,NaN,NaN,World,Wall4m,54.7,NaN,13.917,NaN,1,0,CabinetD06,None,0,0,0,0,0.0000,NaN,NaN,NaN,0
3.90,Negin,Static,CBA,0.827,1.735,0.230,43.4,12.7,-2.197,1.378,13.812,NaN,NaN,NaN,World,Wall4m,56.6,NaN,13.920,NaN,1,0,CabinetD06,None,0,0,0,0,0.0000,NaN,NaN,NaN,0
4.00,Negin,Static,CBA,0.812,1.739,0.226,47.3,10.5,-2.197,1.378,13.812,NaN,NaN,NaN,World,Wall4m,60.0,NaN,13.920,NaN,1,0,CabinetD06,None,0,0,0,0,0.0000,NaN,NaN,NaN,0
4.11,Negin,Static,CBA,0.789,1.742,0.223,52.8,9.6,-2.197,1.378,13.812,NaN,NaN,NaN,World,Wall4m,65.3,NaN,13.919,NaN,1,0,CabinetD06,None,0,0,0,0,0.0000,NaN,NaN,NaN,0
4.21,Negin,Static,CBA,0.769,1.742,0.219,59.1,9.5,-2.197,1.378,13.812,NaN,NaN,NaN,World,Wall4m,71.4,NaN,13.918,NaN,1,0,CabinetD06,None,0,0,0,0,0.0000,NaN,NaN,NaN,0
4.31,Negin,Static,CBA,0.751,1.741,0.216,65.6,9.9,-2.197,1.378,13.812,NaN,NaN,NaN,World,Quad,77.7,NaN,13.917,NaN,1,0,CabinetD06,None,0,0,0,0,0.0000,NaN,NaN,NaN,0
4.40,Negin,Static,CBA,0.734,1.739,0.214,71.3,10.8,-2.197,1.378,13.812,NaN,NaN,NaN,World,Quad,83.3,NaN,13.915,NaN,1,0,CabinetD06,None,0,0,0,0,0.0000,NaN,NaN,NaN,0
4.50,Negin,Static,CBA,0.718,1.737,0.212,76.0,11.2,-2.197,1.378,13.812,NaN,NaN,NaN,World,Quad,87.9,NaN,13.914,NaN,1,0,CabinetD06,None,0,0,0,0,0.0000,NaN,NaN,NaN,0
4.61,Negin,Static,CBA,0.702,1.735,0.210,79.7,11.8,-2.197,1.378,13.812,NaN,NaN,NaN,World,Quad,91.4,NaN,13.912,NaN,1,0,CabinetD06,None,0,0,0,0,0.0000,NaN,NaN,NaN,0
4.71,Negin,Static,CBA,0.690,1.734,0.210,82.0,12.0,-2.197,1.378,13.812,NaN,NaN,NaN,World,Quad,93.5,NaN,13.910,NaN,1,0,CabinetD06,None,0,0,0,0,0.0000,NaN,NaN,NaN,0
4.81,Negin,Static,CBA,0.679,1.732,0.212,82.7,12.2,-2.197,1.378,13.812,NaN,NaN,NaN,World,Quad,94.3,NaN,13.905,NaN,1,0,CabinetD06,None,0,0,0,0,0.0000,NaN,NaN,NaN,0
4.90,Negin,Static,CBA,0.669,1.731,0.216,82.4,12.6,-2.197,1.378,13.812,NaN,NaN,NaN,World,Quad,93.9,NaN,13.899,NaN,1,0,CabinetD06,None,0,0,0,0,0.0000,NaN,NaN,NaN,0
