Time,ParticipantID,Scenario,Sequence,HeadX,HeadY,HeadZ,HeadYaw,HeadPitch,VideoX,VideoY,VideoZ,InstX,InstY,InstZ,GazeTarget,HitObjectName,AngleToVideo,AngleToInst,VideoDist,InstDist,VideoOcc,InstOcc,VideoOccHitName,InstOccHitName,VideoInCone,InstInCone,VideoVisible,InstVisible,VideoSpeed,InstSpeed,PanelSeparation,ScreenOverlapPct,BothVisible
0.00,Nick ,AUIT_Multi,BAC,1.000,0.000,0.500,0.0,0.0,-2.197,1.378,13.812,-26.067,0.000,792.755,World,CabinetDCorner01,14.7,2.0,13.760,792.717,1,1,CabinetD01,CabinetDCorner01,1,1,0,0,0.0000,0.0000,779.309,0.000,0
0.14,Nick ,AUIT_Multi,BAC,1.000,0.000,0.500,0.0,0.0,-1.463,1.055,10.528,-18.765,0.000,583.235,World,CabinetDCorner01,15.0,1.9,10.380,583.070,1,1,CabinetD01,CabinetDCorner01,1,1,0,0,24.6818,1530.6240,572.969,0.047,0
0.21,Nick ,AUIT_Multi,BAC,1.000,0.000,0.500,0.0,0.0,0.382,0.064,2.099,-5.268,0.008,188.350,World,CabinetDCorner01,21.2,1.9,1.716,187.954,1,1,CabinetD02,CabinetD01,1,1,0,0,126.2012,5741.2240,186.336,0.000,0
0.30,Nick ,AUIT_Multi,BAC,1.000,0.000,0.500,0.0,0.0,0.480,0.008,1.650,1.210,0.007,3.062,World,CabinetDCorner01,24.3,4.7,1.262,2.571,1,1,CabinetD02,CabinetDCorner01,1,1,0,0,4.7781,1912.5870,1.590,0.000,0
0.40,Nick ,AUIT_Multi,BAC,1.000,0.000,0.500,0.0,0.0,0.500,0.001,1.598,1.426,0.120,1.438,World,CabinetDCorner01,24.5,25.2,1.207,1.037,1,0,CabinetD02,None,1,0,0,0,0.5700,16.8795,0.947,0.000,0
0.51,Nick ,AUIT_Multi,BAC,1.000,0.000,0.500,0.0,0.0,0.502,0.000,1.593,1.435,0.120,1.456,World,CabinetDCorner01,24.5,25.3,1.201,1.057,1,0,CabinetD02,None,1,0,0,0,0.0586,0.1854,0.950,0.000,0
0.61,Nick ,AUIT_Multi,BAC,1.000,0.000,0.500,0.0,0.0,0.509,-0.001,1.584,1.417,0.114,1.430,World,CabinetDCorner01,24.4,24.9,1.190,1.026,1,0,Floor,None,1,1,0,1,0.1150,0.3301,0.928,0.000,0
0.71,Nick ,AUIT_Multi,BAC,1.000,0.000,0.500,0.0,0.0,0.551,-0.008,1.532,1.298,0.079,1.259,World,CabinetDCorner01,23.5,22.1,1.125,0.819,1,0,Floor,None,1,1,0,1,0.6919,2.1788,0.800,0.000,0
0.80,Nick ,AUIT_Multi,BAC,1.000,0.000,0.500,0.0,0.0,0.593,-0.015,1.480,1.178,0.044,1.087,World,CabinetDCorner01,22.6,17.4,1.061,0.615,1,0,Floor,None,1,1,0,0,0.6931,2.1802,0.707,0.000,0
0.91,Nick ,AUIT_Multi,BAC,0.885,1.884,0.496,19.9,21.7,0.631,-0.020,1.446,1.322,0.096,1.352,World,CabinetDCorner02,47.3,40.3,2.143,2.029,1,0,Floor,None,0,0,0,0,0.4740,2.8409,0.707,0.000,0
