Time,ParticipantID,Scenario,Sequence,HeadX,HeadY,HeadZ,HeadYaw,HeadPitch,VideoX,VideoY,VideoZ,InstX,InstY,InstZ,GazeTarget,HitObjectName,AngleToVideo,AngleToInst,VideoDist,InstDist,VideoOcc,InstOcc,VideoOccHitName,InstOccHitName,VideoInCone,InstInCone,VideoVisible,InstVisible,VideoSpeed,InstSpeed,PanelSeparation,ScreenOverlapPct,BothVisible
0.00,Nick ,Static,BAC,1.000,0.000,0.500,0.0,0.0,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetDCorner01,14.7,NaN,13.760,NaN,1,0,CabinetD01,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
0.13,Nick ,Static,BAC,1.000,0.000,0.500,0.0,0.0,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetDCorner01,14.7,NaN,13.760,NaN,1,0,CabinetD01,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
0.21,Nick ,Static,BAC,1.000,0.000,0.500,0.0,0.0,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetDCorner01,14.7,NaN,13.760,NaN,1,0,CabinetD01,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
0.30,Nick ,Static,BAC,1.000,0.000,0.500,0.0,0.0,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetDCorner01,14.7,NaN,13.760,NaN,1,0,CabinetD01,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
0.40,Nick ,Static,BAC,1.000,0.000,0.500,0.0,0.0,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetDCorner01,14.7,NaN,13.760,NaN,1,0,CabinetD01,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
0.51,Nick ,Static,BAC,1.000,0.000,0.500,0.0,0.0,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetDCorner01,14.7,NaN,13.760,NaN,1,0,CabinetD01,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
0.61,Nick ,Static,BAC,1.000,0.000,0.500,0.0,0.0,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetDCorner01,14.7,NaN,13.760,NaN,1,0,CabinetD01,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
0.71,Nick ,Static,BAC,1.000,0.000,0.500,0.0,0.0,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetDCorner01,14.7,NaN,13.760,NaN,1,0,CabinetD01,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
0.80,Nick ,Static,BAC,1.000,0.000,0.500,0.0,0.0,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetDCorner01,14.7,NaN,13.760,NaN,1,0,CabinetD01,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
0.95,Nick ,Static,BAC,1.249,1.910,-0.086,0.1,4.9,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetDCorner02,14.3,NaN,14.329,NaN,1,0,CabinetD05Door,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
1.00,Nick ,Static,BAC,1.243,1.911,-0.087,357.5,4.3,-2.197,1.378,13.812,NaN,NaN,NaN,World,Wall4m,11.6,NaN,14.329,NaN,1,0,CabinetD05Door,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
1.10,Nick ,Static,BAC,1.240,1.911,-0.088,356.1,4.0,-2.197,1.378,13.812,NaN,NaN,NaN,World,Wall4m,10.2,NaN,14.329,NaN,1,0,CabinetD05Door,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
1.21,Nick ,Static,BAC,1.239,1.912,-0.089,356.0,3.9,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetD05Door,10.0,NaN,14.329,NaN,1,0,CabinetD05Door,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
1.31,Nick ,Static,BAC,1.239,1.912,-0.089,356.0,3.9,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetD05Door,10.0,NaN,14.330,NaN,1,0,CabinetD05Door,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
1.41,Nick ,Static,BAC,1.237,1.912,-0.090,355.1,3.9,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetD05Door,9.1,NaN,14.330,NaN,1,0,CabinetD05Door,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
1.51,Nick ,Static,BAC,1.233,1.912,-0.089,353.3,4.1,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetD05Door,7.4,NaN,14.328,NaN,1,0,CabinetD05,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
