Time,ParticipantID,Scenario,Sequence,HeadX,HeadY,HeadZ,HeadYaw,HeadPitch,VideoX,VideoY,VideoZ,InstX,InstY,InstZ,GazeTarget,AngleToVideo,AngleToInst,VideoOcc,InstOcc,HitObjectName
0.29,P02.1,AUIT_Multi,ABC,1.000,0.000,1.000,0.0,0.0,0.405,-0.086,2.169,-14.189,-0.021,449.155,World,27.2,1.9,False,False,CabinetDCorner01
0.43,P02.1,AUIT_Multi,ABC,1.000,0.000,1.000,0.0,0.0,0.401,-0.099,2.045,-11.501,-0.018,370.141,World,30.2,1.9,False,False,CabinetDCorner01
0.57,P02.1,AUIT_Multi,ABC,1.000,0.000,1.000,0.0,0.0,0.400,-0.100,2.039,-8.479,-0.018,281.744,World,30.3,1.9,False,False,CabinetDCorner01
0.71,P02.1,AUIT_Multi,ABC,1.000,0.000,1.000,0.0,0.0,0.400,-0.100,2.039,-5.560,-0.017,196.248,World,30.3,1.9,False,False,CabinetDCorner01
0.85,P02.1,AUIT_Multi,ABC,1.000,0.000,1.000,0.0,0.0,0.400,-0.100,2.039,-2.743,-0.014,113.556,World,30.3,1.9,False,False,CabinetDCorner01
1.03,P02.1,AUIT_Multi,ABC,1.398,1.472,0.973,211.5,348.7,0.960,0.750,0.806,0.875,0.054,3.926,World,75.0,138.4,False,False,None
1.17,P02.1,AUIT_Multi,ABC,1.398,1.472,0.971,211.3,348.8,1.340,1.333,-0.156,0.554,0.970,1.520,World,33.6,96.5,False,False,None
1.31,P02.1,AUIT_Multi,ABC,1.398,1.473,0.970,211.1,348.7,1.375,1.371,-0.179,0.634,1.058,1.389,World,34.0,92.7,False,False,None
1.45,P02.1,AUIT_Multi,ABC,1.399,1.472,0.970,210.7,349.6,1.377,1.372,-0.176,0.714,1.143,1.266,World,33.2,87.6,False,False,None
1.59,P02.1,AUIT_Multi,ABC,1.400,1.470,0.971,211.5,350.8,1.377,1.371,-0.171,0.790,1.230,1.140,World,33.4,78.6,False,False,None
1.73,P02.1,AUIT_Multi,ABC,1.404,1.469,0.971,210.6,351.3,1.377,1.370,-0.178,0.871,1.315,1.014,World,32.3,68.1,False,False,None
1.87,P02.1,AUIT_Multi,ABC,1.407,1.468,0.972,210.4,352.7,1.402,1.369,-0.181,0.951,1.401,0.886,World,32.5,51.1,False,False,None
2.01,P02.1,AUIT_Multi,ABC,1.410,1.460,0.972,212.8,357.8,1.378,1.365,-0.165,1.025,1.486,0.769,World,31.8,29.4,False,False,None
2.15,P02.1,AUIT_Multi,ABC,1.410,1.459,0.966,214.3,358.9,1.354,1.362,-0.139,0.961,1.514,0.643,World,31.9,20.6,False,False,None
2.29,P02.1,AUIT_Multi,ABC,1.411,1.459,0.962,216.1,358.9,1.348,1.374,-0.021,0.979,1.514,0.654,World,33.0,18.9,False,False,RightHandAnchor
2.43,P02.1,AUIT_Multi,ABC,1.414,1.456,0.962,215.6,1.2,1.350,1.386,0.105,0.994,1.511,0.656,World,31.4,19.7,False,False,LeftHandAnchor
2.56,P02.1,AUIT_Multi,ABC,1.418,1.452,0.964,216.0,3.2,1.354,1.397,0.230,1.011,1.508,0.656,World,30.9,19.4,False,False,LeftHandAnchor
2.70,P02.1,AUIT_Multi,ABC,1.422,1.453,0.961,214.3,7.5,1.353,1.409,0.356,1.029,1.506,0.653,World,27.8,22.2,False,False,LeftHandAnchor
2.84,P02.1,AUIT_Multi,ABC,1.425,1.455,0.949,211.9,11.7,1.346,1.421,0.482,1.061,1.505,0.628,World,23.3,24.1,False,False,LeftHandAnchor
2.98,P02.1,AUIT_Multi,ABC,1.414,1.473,0.922,199.9,39.5,1.349,1.435,0.606,1.099,1.505,0.603,World,33.6,49.1,False,False,LeftHandAnchor
3.12,P02.1,AUIT_Multi,ABC,1.402,1.464,0.887,179.4,37.9,1.517,1.431,0.555,1.041,1.477,0.473,World,36.6,55.0,False,False,LeftHandAnchor
3.26,P02.1,AUIT_Multi,ABC,1.392,1.451,0.839,153.4,36.9,1.632,1.399,0.483,1.099,1.445,0.371,World,30.7,65.0,False,False,RightHandAnchor
3.40,P02.1,AUIT_Multi,ABC,1.377,1.439,0.789,119.1,28.4,1.662,1.376,0.578,1.244,1.430,0.403,World,19.5,80.5,False,False,Wall4m
3.54,P02.1,AUIT_Multi,ABC,1.332,1.407,0.745,93.0,1.4,1.635,1.350,0.669,1.355,1.413,0.478,Video,14.2,82.2,False,False,Quad
3.68,P02.1,AUIT_Multi,ABC,1.298,1.365,0.713,73.7,352.0,1.580,1.322,0.730,1.423,1.393,0.564,World,20.9,65.3,False,False,Wall4m
3.82,P02.1,AUIT_Multi,ABC,1.273,1.327,0.726,67.0,341.1,1.539,1.295,0.758,1.467,1.374,0.625,World,30.2,49.0,False,False,Wall4m
3.95,P02.1,AUIT_Multi,ABC,1.251,1.324,0.739,62.9,345.7,1.515,1.272,0.769,1.502,1.359,0.666,World,32.6,43.0,False,False,Wall4m
4.09,P02.1,AUIT_Multi,ABC,1.234,1.321,0.758,57.8,349.7,1.484,1.249,0.788,1.540,1.344,0.717,World,36.1,39.8,False,False,Wall4m
4.23,P02.1,AUIT_Multi,ABC,1.228,1.330,0.762,59.3,349.4,1.565,1.246,1.086,1.797,1.307,0.749,World,24.5,34.4,False,False,Wall4m
4.37,P02.1,AUIT_Multi,ABC,1.216,1.347,0.764,60.2,353.7,1.521,1.258,1.021,1.753,1.312,0.755,World,21.5,32.3,False,False,Wall4m
4.51,P02.1,AUIT_Multi,ABC,1.213,1.358,0.759,57.4,353.7,1.490,1.271,0.988,1.709,1.316,0.770,World,21.2,33.3,False,False,Wall4m
4.65,P02.1,AUIT_Multi,ABC,1.200,1.382,0.751,57.3,357.0,1.469,1.284,0.965,1.664,1.322,0.780,World,19.8,30.9,False,False,Wall4m
4.79,P02.1,AUIT_Multi,ABC,1.188,1.434,0.740,53.8,6.9,1.445,1.300,0.942,1.616,1.329,0.802,World,15.5,28.2,False,False,Wall4m
4.93,P02.1,AUIT_Multi,ABC,1.176,1.490,0.724,48.3,14.3,1.417,1.321,0.923,1.569,1.342,0.830,World,14.3,26.0,False,False,Wall4m
5.07,P02.1,AUIT_Multi,ABC,1.152,1.539,0.720,47.2,21.7,1.404,1.340,0.906,1.519,1.353,0.855,World,12.2,21.0,False,False,KitchenOven07
5.21,P02.1,AUIT_Multi,ABC,1.136,1.561,0.712,47.6,25.4,1.415,1.421,1.128,2.002,1.424,1.092,World,16.2,24.7,False,False,KitchenOven07
5.34,P02.1,AUIT_Multi,ABC,1.114,1.574,0.704,47.8,27.4,1.406,1.463,1.182,2.215,1.463,1.181,World,22.4,28.4,False,False,KitchenOven07
5.48,P02.1,AUIT_Multi,ABC,1.095,1.597,0.687,43.8,30.8,1.353,1.482,1.174,2.206,1.482,1.174,World,24.0,33.1,False,False,KitchenOven07
5.62,P02.1,AUIT_Multi,ABC,1.083,1.611,0.676,44.9,33.6,1.287,1.503,1.168,2.190,1.503,1.166,World,30.1,34.7,False,False,KitchenOven07
5.76,P02.1,AUIT_Multi,ABC,1.063,1.618,0.673,45.5,32.3,1.285,1.514,1.167,2.185,1.514,1.131,World,29.1,34.4,False,False,KitchenOven07
5.90,P02.1,AUIT_Multi,ABC,1.041,1.620,0.668,46.9,30.5,1.256,1.518,1.152,2.169,1.518,1.119,World,29.0,32.6,False,False,KitchenOven07
6.04,P02.1,AUIT_Multi,ABC,1.022,1.621,0.652,46.7,27.4,1.242,1.521,1.139,2.152,1.521,1.096,World,27.0,30.8,False,False,KitchenOven07
6.18,P02.1,AUIT_Multi,ABC,1.014,1.614,0.648,42.1,23.2,1.203,1.519,1.116,2.146,1.519,1.063,World,22.9,32.7,False,False,KitchenOven07
6.32,P02.1,AUIT_Multi,ABC,1.013,1.612,0.649,42.8,18.1,1.132,1.514,1.088,2.142,1.514,1.061,World,27.3,29.7,False,False,KitchenOven07
6.46,P02.1,AUIT_Multi,ABC,1.008,1.603,0.647,43.7,11.6,1.127,1.507,1.089,2.143,1.507,1.045,World,27.9,27.6,False,False,Wall4m
6.59,P02.1,AUIT_Multi,ABC,1.012,1.591,0.647,46.9,8.9,1.131,1.498,1.089,2.164,1.498,0.975,World,31.5,27.4,False,False,Wall4m
6.73,P02.1,AUIT_Multi,ABC,1.010,1.578,0.642,52.1,4.6,1.172,1.485,1.103,2.189,1.485,0.868,World,32.9,27.0,False,False,Wall4m
6.87,P02.1,AUIT_Multi,ABC,1.011,1.572,0.642,54.3,4.0,1.216,1.475,1.125,2.201,1.475,0.787,World,31.7,28.7,False,False,Wall4m
7.01,P02.1,AUIT_Multi,ABC,1.012,1.573,0.645,55.3,1.8,1.234,1.472,1.135,2.205,1.472,0.761,World,31.9,29.3,False,False,Wall4m
7.15,P02.1,AUIT_Multi,ABC,1.014,1.574,0.657,56.5,357.1,1.255,1.476,1.155,2.208,1.476,0.738,World,33.1,30.6,False,False,Wall4m
7.29,P02.1,AUIT_Multi,ABC,1.002,1.574,0.652,58.3,357.5,1.271,1.474,1.164,2.205,1.474,0.709,World,32.8,29.9,False,False,Wall4m
7.43,P02.1,AUIT_Multi,ABC,0.999,1.573,0.647,57.8,1.6,1.279,1.475,1.163,2.201,1.475,0.685,World,30.2,30.5,False,False,Wall4m
7.57,P02.1,AUIT_Multi,ABC,0.997,1.569,0.648,58.9,6.8,1.273,1.472,1.162,2.198,1.472,0.689,World,30.5,29.1,False,False,Wall4m
7.70,P02.1,AUIT_Multi,ABC,0.992,1.570,0.648,59.8,8.2,1.287,1.470,1.164,2.195,1.470,0.658,World,29.6,29.8,False,False,Wall4m
7.84,P02.1,AUIT_Multi,ABC,0.988,1.568,0.650,57.6,9.9,1.280,1.468,1.162,2.191,1.468,0.662,World,27.4,32.0,False,False,Wall4m
7.98,P02.1,AUIT_Multi,ABC,0.982,1.569,0.651,56.0,8.8,1.249,1.469,1.146,2.186,1.469,0.696,World,27.4,31.8,False,False,Wall4m
8.12,P02.1,AUIT_Multi,ABC,0.976,1.566,0.649,52.5,9.4,1.177,1.466,1.101,2.171,1.466,0.786,World,28.2,31.1,False,False,Wall4m
8.26,P02.1,AUIT_Multi,ABC,0.973,1.569,0.642,53.2,7.4,1.171,1.467,1.102,2.167,1.467,0.790,World,29.9,29.6,False,False,Wall4m
8.40,P02.1,AUIT_Multi,ABC,0.969,1.568,0.632,50.1,7.4,1.160,1.469,1.096,2.161,1.469,0.797,World,27.6,31.9,False,False,Wall4m
8.54,P02.1,AUIT_Multi,ABC,0.973,1.571,0.621,47.1,4.8,1.118,1.468,1.083,2.143,1.468,0.878,World,30.2,30.4,False,False,CabinetDCorner02
8.68,P02.1,AUIT_Multi,ABC,0.972,1.571,0.608,46.6,4.0,1.118,1.471,1.080,2.144,1.471,0.878,World,30.1,30.3,False,False,CabinetDCorner02
8.81,P02.1,AUIT_Multi,ABC,0.973,1.570,0.596,47.1,5.2,1.115,1.470,1.076,2.140,1.470,0.877,World,30.8,29.3,False,False,CabinetDCorner02
8.95,P02.1,AUIT_Multi,ABC,0.973,1.570,0.588,44.7,6.0,1.106,1.470,1.073,2.134,1.470,0.891,World,29.4,30.6,False,False,CabinetDCorner02
9.09,P02.1,AUIT_Multi,ABC,0.976,1.571,0.577,47.7,5.5,1.116,1.471,1.071,2.140,1.471,0.871,World,32.1,28.0,False,False,CabinetDCorner02
9.23,P02.1,AUIT_Multi,ABC,0.981,1.569,0.574,47.5,7.0,1.136,1.470,1.072,2.150,1.470,0.833,World,30.1,30.0,False,False,Wall4m
9.37,P02.1,AUIT_Multi,ABC,0.992,1.570,0.565,49.4,7.7,1.140,1.470,1.071,2.154,1.470,0.832,World,32.8,27.7,False,False,Wall4m
9.51,P02.1,AUIT_Multi,ABC,0.988,1.567,0.570,50.6,7.3,1.173,1.468,1.080,2.168,1.468,0.777,World,30.4,29.4,False,False,Wall4m
9.65,P02.1,AUIT_Multi,ABC,0.992,1.568,0.568,51.4,7.0,1.179,1.468,1.081,2.173,1.468,0.770,World,31.1,28.8,False,False,Wall4m
9.79,P02.1,AUIT_Multi,ABC,0.992,1.567,0.572,52.1,7.5,1.199,1.468,1.090,2.179,1.468,0.743,World,30.1,29.7,False,False,Wall4m
9.93,P02.1,AUIT_Multi,ABC,0.997,1.564,0.576,52.4,6.7,1.212,1.466,1.097,2.184,1.466,0.729,World,29.8,30.2,False,False,Wall4m
10.06,P02.1,AUIT_Multi,ABC,1.001,1.561,0.580,55.3,5.7,1.241,1.462,1.123,2.192,1.462,0.706,World,31.4,28.6,False,False,Wall4m
10.20,P02.1,AUIT_Multi,ABC,1.002,1.562,0.585,56.7,2.5,1.285,1.463,1.144,2.200,1.463,0.650,World,30.3,30.2,False,False,Wall4m
10.34,P02.1,AUIT_Multi,ABC,1.001,1.564,0.590,56.8,1.4,1.277,1.462,1.143,2.199,1.462,0.663,World,31.1,29.9,False,False,Wall4m
10.48,P02.1,AUIT_Multi,ABC,0.999,1.563,0.597,54.6,0.4,1.259,1.463,1.129,2.197,1.463,0.682,World,29.9,31.6,False,False,Wall4m
10.62,P02.1,AUIT_Multi,ABC,0.998,1.563,0.596,55.8,1.5,1.259,1.463,1.139,2.195,1.463,0.689,World,31.0,29.8,False,False,Wall4m
10.76,P02.1,AUIT_Multi,ABC,1.001,1.563,0.590,59.7,3.1,1.285,1.462,1.147,2.198,1.462,0.650,World,33.0,27.4,False,False,Wall4m
10.90,P02.1,AUIT_Multi,ABC,0.998,1.569,0.589,62.7,1.4,1.338,1.463,1.149,2.200,1.463,0.568,World,32.2,28.5,False,False,Wall4m
11.04,P02.1,AUIT_Multi,ABC,0.994,1.563,0.586,65.9,4.6,1.376,1.465,1.150,2.192,1.465,0.503,World,31.8,27.9,False,False,Wall4m
11.18,P02.1,AUIT_Multi,ABC,0.989,1.566,0.587,65.4,2.5,1.398,1.465,1.151,2.187,1.465,0.467,World,29.9,30.3,False,False,Wall4m
11.32,P02.1,AUIT_Multi,ABC,0.986,1.567,0.593,63.9,3.9,1.385,1.464,1.151,2.184,1.464,0.480,World,28.5,31.4,False,False,Wall4m
11.45,P02.1,AUIT_Multi,ABC,0.983,1.565,0.591,62.1,4.9,1.345,1.467,1.150,2.183,1.467,0.533,World,29.2,30.5,False,False,Wall4m
11.59,P02.1,AUIT_Multi,ABC,0.983,1.566,0.591,60.8,5.4,1.325,1.465,1.150,2.183,1.465,0.561,World,29.2,30.6,False,False,Wall4m
11.73,P02.1,AUIT_Multi,ABC,0.982,1.567,0.586,62.0,4.7,1.328,1.468,1.149,2.183,1.468,0.557,World,30.5,29.3,False,False,Wall4m
11.87,P02.1,AUIT_Multi,ABC,0.986,1.564,0.590,61.1,6.9,1.337,1.465,1.149,2.183,1.465,0.542,World,28.8,31.1,False,False,Wall4m
