Time,ParticipantID,Scenario,Sequence,HeadX,HeadY,HeadZ,HeadYaw,HeadPitch,VideoX,VideoY,VideoZ,InstX,InstY,InstZ,GazeTarget,AngleToVideo,AngleToInst,VideoOcc,InstOcc,HitObjectName
0.46,P02,AUIT_Single,ABC,1.000,0.000,1.000,0.0,0.0,-2.197,1.378,13.812,-26.067,0.000,792.755,World,15.2,-1.0,False,False,CabinetDCorner01
0.60,P02,AUIT_Single,ABC,1.000,0.000,1.000,0.0,0.0,-2.197,1.378,13.812,-26.067,0.000,792.755,World,15.2,-1.0,False,False,CabinetDCorner01
0.74,P02,AUIT_Single,ABC,1.000,0.000,1.000,0.0,0.0,-2.197,1.378,13.812,-26.067,0.000,792.755,World,15.2,-1.0,False,False,CabinetDCorner01
1.23,P02,AUIT_Single,ABC,0.761,1.583,0.742,356.8,6.0,-2.197,1.378,13.812,-26.067,0.000,792.755,World,10.8,-1.0,False,False,RightHandAnchor
1.37,P02,AUIT_Single,ABC,0.762,1.584,0.743,357.4,5.9,-2.197,1.378,13.812,-26.067,0.000,792.755,World,11.3,-1.0,False,False,RightHandAnchor
1.51,P02,AUIT_Single,ABC,0.762,1.584,0.744,358.0,5.8,-2.197,1.378,13.812,-26.067,0.000,792.755,World,11.8,-1.0,False,False,RightHandAnchor
1.72,P02,AUIT_Single,ABC,0.762,1.584,0.745,358.0,5.8,-2.197,1.378,13.812,-26.067,0.000,792.755,World,11.8,-1.0,False,False,RightHandAnchor
1.86,P02,AUIT_Single,ABC,0.761,1.585,0.746,357.8,5.2,-2.197,1.378,13.812,-26.067,0.000,792.755,World,11.4,-1.0,False,False,RightHandAnchor
2.00,P02,AUIT_Single,ABC,0.762,1.589,0.745,357.8,3.2,-2.197,1.378,13.812,-26.067,0.000,792.755,World,10.8,-1.0,False,False,Video Quad
2.14,P02,AUIT_Single,ABC,0.763,1.595,0.745,357.3,1.2,-2.197,1.378,13.812,-26.067,0.000,792.755,World,10.1,-1.0,False,False,Video Quad
2.28,P02,AUIT_Single,ABC,0.764,1.591,0.741,357.8,2.3,-2.197,1.378,13.812,-26.067,0.000,792.755,World,10.6,-1.0,False,False,Video Quad
2.42,P02,AUIT_Single,ABC,0.767,1.590,0.740,359.4,2.4,-2.197,1.378,13.812,-26.067,0.000,792.755,World,12.3,-1.0,False,False,Video Quad
2.55,P02,AUIT_Single,ABC,0.766,1.592,0.737,359.4,1.5,-2.197,1.378,13.812,-26.067,0.000,792.755,World,12.2,-1.0,False,False,Video Quad
2.69,P02,AUIT_Single,ABC,0.765,1.590,0.737,359.3,2.4,-2.197,1.378,13.812,-26.067,0.000,792.755,World,12.1,-1.0,False,False,Video Quad
2.83,P02,AUIT_Single,ABC,0.764,1.591,0.735,357.8,1.8,-2.197,1.378,13.812,-26.067,0.000,792.755,World,10.6,-1.0,False,False,Video Quad
