Time,ParticipantID,Scenario,Sequence,HeadX,HeadY,HeadZ,HeadYaw,HeadPitch,VideoX,VideoY,VideoZ,InstX,InstY,InstZ,GazeTarget,AngleToVideo,AngleToInst,VideoOcc,InstOcc,HitObjectName
0.21,P03,AUIT_Multi,ABC,1.000,0.000,1.000,0.0,0.0,0.373,-0.056,2.416,-17.010,-0.017,530.687,World,24.0,1.9,False,False,CabinetDCorner01
0.28,P03,AUIT_Multi,ABC,1.000,0.000,1.000,0.0,0.0,0.398,-0.091,2.123,-15.944,-0.014,498.969,World,28.5,1.9,False,False,CabinetDCorner01
0.33,P03,AUIT_Multi,ABC,1.000,0.000,1.000,0.0,0.0,0.400,-0.097,2.066,-14.903,-0.013,468.309,World,29.7,1.9,False,False,CabinetDCorner01
0.38,P03,AUIT_Multi,ABC,1.000,0.000,1.000,0.0,0.0,0.400,-0.099,2.048,-13.849,-0.012,437.309,World,30.1,1.9,False,False,CabinetDCorner01
0.43,P03,AUIT_Multi,ABC,1.000,0.000,1.000,0.0,0.0,0.400,-0.100,2.042,-12.592,-0.012,400.551,World,30.3,1.9,False,False,CabinetDCorner01
0.48,P03,AUIT_Multi,ABC,1.000,0.000,1.000,0.0,0.0,0.400,-0.100,2.040,-11.607,-0.011,371.548,World,30.3,1.9,False,False,CabinetDCorner01
0.53,P03,AUIT_Multi,ABC,1.000,0.000,1.000,0.0,0.0,0.400,-0.100,2.040,-10.511,-0.010,339.448,World,30.3,1.9,False,False,CabinetDCorner01
0.57,P03,AUIT_Multi,ABC,1.000,0.000,1.000,0.0,0.0,0.400,-0.100,2.039,-9.456,-0.010,308.531,World,30.3,1.9,False,False,CabinetDCorner01
0.62,P03,AUIT_Multi,ABC,1.000,0.000,1.000,0.0,0.0,0.400,-0.100,2.039,-8.465,-0.009,279.390,World,30.3,1.9,False,False,CabinetDCorner01
0.66,P03,AUIT_Multi,ABC,1.000,0.000,1.000,0.0,0.0,0.400,-0.100,2.039,-7.398,-0.009,248.177,World,30.3,1.9,False,False,CabinetDCorner01
