Time,ParticipantID,Scenario,Sequence,HeadX,HeadY,HeadZ,HeadYaw,HeadPitch,VideoX,VideoY,VideoZ,InstX,InstY,InstZ,GazeTarget,HitObjectName,AngleToVideo,AngleToInst,VideoDist,InstDist,VideoOcc,InstOcc,VideoOccHitName,InstOccHitName,VideoInCone,InstInCone,VideoVisible,InstVisible,VideoSpeed,InstSpeed,PanelSeparation,ScreenOverlapPct,BothVisible
0.00,Romila,Static,ACB,1.000,0.000,1.000,0.0,0.0,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetD01,15.2,NaN,13.277,NaN,1,0,CabinetD01,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
0.12,Romila,Static,ACB,1.000,0.000,1.000,0.0,0.0,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetD01,15.2,NaN,13.277,NaN,1,0,CabinetD01,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
0.21,Romila,Static,ACB,1.000,0.000,1.000,0.0,0.0,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetD01,15.2,NaN,13.277,NaN,1,0,CabinetD01,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
0.31,Romila,Static,ACB,1.000,0.000,1.000,0.0,0.0,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetD01,15.2,NaN,13.277,NaN,1,0,CabinetD01,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
0.41,Romila,Static,ACB,1.000,0.000,1.000,0.0,0.0,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetD01,15.2,NaN,13.277,NaN,1,0,CabinetD01,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
0.50,Romila,Static,ACB,1.000,0.000,1.000,0.0,0.0,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetD01,15.2,NaN,13.277,NaN,1,0,CabinetD01,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
0.60,Romila,Static,ACB,1.000,0.000,1.000,0.0,0.0,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetD01,15.2,NaN,13.277,NaN,1,0,CabinetD01,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
0.71,Romila,Static,ACB,1.000,0.000,1.000,0.0,0.0,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetD01,15.2,NaN,13.277,NaN,1,0,CabinetD01,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
0.81,Romila,Static,ACB,1.000,0.000,1.000,0.0,0.0,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetD01,15.2,NaN,13.277,NaN,1,0,CabinetD01,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
0.92,Romila,Static,ACB,1.227,1.587,1.102,334.6,359.1,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetD05Door,10.5,NaN,13.165,NaN,1,0,CabinetD05Door,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
1.01,Romila,Static,ACB,1.227,1.587,1.102,334.6,359.2,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetD05Door,10.5,NaN,13.165,NaN,1,0,CabinetD05Door,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
1.10,Romila,Static,ACB,1.226,1.587,1.102,334.5,359.1,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetD05Door,10.6,NaN,13.165,NaN,1,0,CabinetD05Door,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
1.21,Romila,Static,ACB,1.226,1.587,1.102,334.5,359.1,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetD05Door,10.6,NaN,13.165,NaN,1,0,CabinetD05Door,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
1.32,Romila,Static,ACB,1.226,1.587,1.102,334.4,359.1,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetD05Door,10.6,NaN,13.165,NaN,1,0,CabinetD05Door,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
1.41,Romila,Static,ACB,1.226,1.587,1.102,334.4,359.2,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetD05Door,10.7,NaN,13.165,NaN,1,0,CabinetD05Door,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
1.52,Romila,Static,ACB,1.226,1.587,1.102,334.3,359.2,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetD05Door,10.7,NaN,13.165,NaN,1,0,CabinetD05Door,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
1.60,Romila,Static,ACB,1.226,1.587,1.102,334.3,359.3,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetD05Door,10.8,NaN,13.165,NaN,1,0,CabinetD05Door,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
1.71,Romila,Static,ACB,1.226,1.588,1.100,333.9,359.0,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetD05Door,11.2,NaN,13.167,NaN,1,0,CabinetD05Door,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
1.83,Romila,Static,ACB,1.225,1.588,1.097,333.6,358.9,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetD05Door,11.5,NaN,13.169,NaN,1,0,CabinetD05Door,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
1.91,Romila,Static,ACB,1.225,1.588,1.094,333.3,358.6,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetD05Door,11.8,NaN,13.172,NaN,1,0,CabinetD05Door,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
2.02,Romila,Static,ACB,1.223,1.589,1.089,332.6,358.0,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetD05Door,12.6,NaN,13.176,NaN,1,0,CabinetD05Door,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
2.10,Romila,Static,ACB,1.221,1.590,1.085,331.9,357.5,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetD05Door,13.5,NaN,13.180,NaN,1,0,CabinetD05Door,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
2.22,Romila,Static,ACB,1.218,1.591,1.079,331.0,356.9,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetD05Door,14.5,NaN,13.185,NaN,1,0,CabinetD05Door,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
2.33,Romila,Static,ACB,1.215,1.591,1.073,330.1,356.6,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetD05Door,15.5,NaN,13.190,NaN,1,0,CabinetD05Door,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
2.41,Romila,Static,ACB,1.212,1.591,1.068,329.2,356.5,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetD05,16.4,NaN,13.194,NaN,1,0,CabinetD05Door,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
2.52,Romila,Static,ACB,1.207,1.591,1.061,328.1,356.4,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetD05,17.5,NaN,13.200,NaN,1,0,CabinetD05Door,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
2.60,Romila,Static,ACB,1.204,1.591,1.055,327.6,356.5,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetD05,18.0,NaN,13.204,NaN,1,0,CabinetD05Door,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
2.72,Romila,Static,ACB,1.199,1.591,1.047,327.5,356.9,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetD05,18.1,NaN,13.211,NaN,1,0,CabinetD05Door,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
2.83,Romila,Static,ACB,1.194,1.592,1.039,327.7,356.7,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetD05,17.9,NaN,13.217,NaN,1,0,CabinetD05Door,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
2.91,Romila,Static,ACB,1.189,1.594,1.035,328.1,356.9,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetD05,17.6,NaN,13.220,NaN,1,0,CabinetD05Door,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
3.02,Romila,Static,ACB,1.185,1.596,1.031,328.7,357.4,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetD05,16.8,NaN,13.222,NaN,1,0,CabinetD05Door,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
3.11,Romila,Static,ACB,1.183,1.596,1.030,328.7,357.6,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetD05,16.8,NaN,13.223,NaN,1,0,CabinetD05Door,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
3.20,Romila,Static,ACB,1.183,1.595,1.029,328.5,358.2,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetD05,16.9,NaN,13.224,NaN,1,0,CabinetD05Door,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
3.30,Romila,Static,ACB,1.186,1.596,1.029,327.1,358.3,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetD05,18.3,NaN,13.225,NaN,1,0,CabinetD05Door,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
3.40,Romila,Static,ACB,1.192,1.594,1.030,325.3,359.4,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetD05,19.9,NaN,13.225,NaN,1,0,CabinetD05Door,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
3.51,Romila,Static,ACB,1.202,1.595,1.033,323.0,0.6,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetD06,22.1,NaN,13.226,NaN,1,0,CabinetD05Door,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
3.61,Romila,Static,ACB,1.211,1.596,1.036,321.5,1.3,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetD06,23.6,NaN,13.225,NaN,1,0,CabinetD05Door,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
3.71,Romila,Static,ACB,1.219,1.595,1.039,321.0,2.4,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetD06,24.0,NaN,13.224,NaN,1,0,CabinetD05Door,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
