Time,ParticipantID,Scenario,Sequence,HeadX,HeadY,HeadZ,HeadYaw,HeadPitch,VideoX,VideoY,VideoZ,InstX,InstY,InstZ,GazeTarget,HitObjectName,AngleToVideo,AngleToInst,VideoDist,InstDist,VideoOcc,InstOcc,VideoOccHitName,InstOccHitName,VideoInCone,InstInCone,VideoVisible,InstVisible,VideoSpeed,InstSpeed,PanelSeparation,ScreenOverlapPct,BothVisible
0.00,Saifuddin,AUIT_Multi,ACB,1.000,0.000,0.000,0.0,0.0,-2.197,1.378,13.812,-26.067,0.000,792.755,World,Wall4m,14.1,2.0,14.244,793.217,1,1,CabinetD01,Wall4m,1,1,0,0,0.0000,0.0000,779.309,0.000,0
0.15,Saifuddin,AUIT_Multi,ACB,1.000,0.000,0.000,0.0,0.0,-1.484,1.055,10.442,-18.765,0.000,583.102,World,Wall4m,14.5,1.9,10.786,583.437,1,1,CabinetD01,CabinetDCorner01,1,1,0,0,23.3941,1418.6400,572.922,0.022,0
0.21,Saifuddin,AUIT_Multi,ACB,1.000,0.000,0.000,0.0,0.0,0.381,0.063,1.617,-4.150,0.000,154.925,World,Wall4m,21.0,1.9,1.733,155.011,1,1,CabinetD02,Wall4m,1,1,0,0,144.0437,6800.3290,153.375,0.000,0
0.31,Saifuddin,AUIT_Multi,ACB,1.000,0.000,0.000,0.0,0.0,0.487,0.008,1.155,1.483,0.120,1.098,World,Wall4m,24.0,24.4,1.264,1.206,0,0,None,None,1,1,1,1,4.9202,1586.3960,1.005,0.000,1
0.40,Saifuddin,AUIT_Multi,ACB,1.000,0.000,0.000,0.0,0.0,0.508,0.001,1.102,1.487,0.120,1.097,World,Wall4m,24.0,24.6,1.207,1.206,0,0,None,None,1,1,1,1,0.5860,0.0412,0.986,0.000,1
0.50,Saifuddin,AUIT_Multi,ACB,1.000,0.000,0.000,0.0,0.0,0.511,0.000,1.097,1.489,0.120,1.096,World,Wall4m,24.0,24.7,1.201,1.206,0,0,None,None,1,1,1,1,0.0664,0.0163,0.985,0.000,1
0.61,Saifuddin,AUIT_Multi,ACB,1.000,0.000,0.000,0.0,0.0,0.516,0.002,1.092,1.462,0.114,1.062,World,Wall4m,23.9,24.1,1.194,1.163,0,0,None,None,1,1,1,1,0.0696,0.3949,0.953,0.000,1
0.71,Saifuddin,AUIT_Multi,ACB,1.000,0.000,0.000,0.0,0.0,0.552,0.013,1.065,1.292,0.074,0.845,World,Wall4m,22.8,19.6,1.155,0.897,0,0,None,None,1,1,1,1,0.4851,2.9214,0.774,0.000,1
0.81,Saifuddin,AUIT_Multi,ACB,1.000,0.000,0.000,0.0,0.0,0.589,0.024,1.038,1.121,0.034,0.628,World,Wall4m,21.7,11.3,1.116,0.641,0,0,None,None,1,1,1,0,0.4686,2.8171,0.672,0.000,0
0.91,Saifuddin,AUIT_Multi,ACB,-0.941,1.684,0.394,22.4,7.2,0.624,0.033,1.017,1.286,0.082,0.904,World,CabinetD07,54.5,57.2,2.358,2.790,1,1,Refrigerator03_Door01,Refrigerator03_Door01,0,0,0,0,0.4101,3.1703,0.673,0.000,0
1.01,Saifuddin,AUIT_Multi,ACB,-0.938,1.684,0.395,22.3,7.3,0.394,0.326,1.063,0.365,1.210,1.152,World,CabinetD07,50.3,38.0,2.016,1.580,1,1,Refrigerator03_Door01,Refrigerator03_Door01,0,0,0,0,3.9047,15.3549,0.888,0.000,0
1.11,Saifuddin,AUIT_Multi,ACB,-0.936,1.685,0.395,23.1,7.2,0.434,0.333,1.033,-0.246,1.715,0.968,World,CabinetD07,50.7,28.7,2.028,0.897,1,0,Refrigerator03_Door01,None,0,0,0,0,0.5036,8.1559,1.542,0.000,0
1.20,Saifuddin,AUIT_Multi,ACB,-0.934,1.685,0.397,23.7,7.2,0.579,0.336,0.958,-0.460,1.685,1.036,World,CabinetD07,52.5,14.7,2.102,0.795,1,0,Refrigerator03_Door01,None,0,1,0,0,1.6678,2.3238,1.704,0.000,0
1.30,Saifuddin,AUIT_Multi,ACB,-0.931,1.683,0.398,24.1,7.6,0.661,0.344,0.908,-0.669,1.681,1.036,World,CabinetD07,53.2,7.6,2.143,0.690,0,0,None,None,0,1,0,0,0.9997,2.1680,1.891,0.000,0
1.41,Saifuddin,AUIT_Multi,ACB,-0.929,1.683,0.398,24.5,7.9,0.696,0.363,0.877,-0.889,1.684,1.414,World,CabinetD07,53.3,23.6,2.147,1.017,0,0,None,None,0,1,0,1,0.4565,3.9276,2.132,0.000,0
1.51,Saifuddin,AUIT_Multi,ACB,-0.926,1.683,0.397,25.2,8.0,0.726,0.380,0.849,-0.929,1.683,1.572,World,CabinetD07,53.4,26.5,2.152,1.175,0,0,None,None,0,0,0,0,0.4596,1.6727,2.227,0.000,0
1.61,Saifuddin,AUIT_Multi,ACB,-0.922,1.684,0.395,27.2,7.9,0.636,0.602,0.874,-0.913,1.683,1.594,World,CabinetD07,49.3,27.8,1.956,1.199,0,0,None,None,0,0,0,0,2.4513,0.2738,2.021,0.000,0
1.70,Saifuddin,AUIT_Multi,ACB,-0.915,1.684,0.390,30.7,7.7,0.532,0.689,0.851,-0.843,1.684,1.361,World,Wall4m,46.1,27.5,1.816,0.974,0,0,None,None,0,0,0,0,1.4179,2.5128,1.773,0.000,0
1.80,Saifuddin,AUIT_Multi,ACB,-0.907,1.684,0.384,35.2,7.6,0.424,0.789,0.827,-0.769,1.685,1.130,World,Refrigerator03_Door01,42.0,25.7,1.664,0.759,0,0,None,None,0,0,0,0,1.5281,2.4763,1.522,0.000,0
1.91,Saifuddin,AUIT_Multi,ACB,-0.899,1.684,0.377,39.2,7.8,0.291,0.923,0.805,-0.676,1.685,1.322,World,Refrigerator03_Door01,37.2,27.0,1.476,0.970,0,0,None,None,0,0,0,0,1.7207,1.9299,1.335,0.000,0
2.01,Saifuddin,AUIT_Multi,ACB,-0.894,1.683,0.373,41.4,8.2,0.175,1.029,0.787,-0.604,1.684,1.504,World,Refrigerator03_Door01,33.5,28.1,1.320,1.167,0,0,None,None,0,0,0,0,1.6213,2.0138,1.245,0.000,0
2.11,Saifuddin,AUIT_Multi,ACB,-0.888,1.682,0.370,43.1,8.6,0.056,1.131,0.772,-0.553,1.683,1.519,World,Refrigerator03_Door01,29.8,28.1,1.165,1.197,0,0,None,None,0,0,0,0,1.6259,0.5449,1.111,0.000,0
2.20,Saifuddin,AUIT_Multi,ACB,-0.882,1.681,0.366,44.8,8.9,-0.061,1.246,0.758,-0.512,1.682,1.508,World,Refrigerator03_Door01,25.0,28.2,1.009,1.201,0,0,None,None,1,0,1,0,1.6793,0.4331,0.978,0.000,0
2.30,Saifuddin,AUIT_Multi,ACB,-0.874,1.681,0.358,47.0,9.3,-0.181,1.354,0.742,-0.499,1.682,1.416,World,Refrigerator03_Door01,18.8,28.9,0.857,1.123,0,0,None,None,1,0,1,0,1.6803,0.9667,0.814,0.000,0
2.41,Saifuddin,AUIT_Multi,ACB,-0.860,1.680,0.344,51.1,9.4,-0.311,1.481,0.719,-0.562,1.681,1.092,World,Refrigerator03_Door01,8.5,30.8,0.694,0.806,0,0,None,None,1,0,0,0,1.6474,2.9657,0.492,0.000,0
2.51,Saifuddin,AUIT_Multi,ACB,-0.850,1.679,0.331,55.5,9.6,-0.428,1.590,0.694,-0.591,1.777,0.883,World,Quad,6.1,35.5,0.564,0.618,0,0,None,None,1,0,0,0,1.6662,2.3886,0.312,0.000,0
2.61,Saifuddin,AUIT_Multi,ACB,-0.843,1.679,0.322,58.4,9.9,-0.547,1.699,0.672,-0.603,1.894,0.749,World,Wall4m,21.9,44.0,0.460,0.535,0,0,None,None,1,0,0,0,1.6719,1.8326,0.217,0.000,0
2.70,Saifuddin,AUIT_Multi,ACB,-0.840,1.679,0.317,58.9,9.7,0.182,1.685,0.503,-0.539,1.849,0.704,World,Wall4m,22.9,35.5,1.039,0.519,0,0,None,None,1,0,1,0,7.6356,0.9210,0.766,0.000,0
2.80,Saifuddin,AUIT_Multi,ACB,-0.839,1.681,0.315,58.6,9.2,0.322,1.680,0.512,-0.456,1.777,0.673,World,Wall4m,23.5,22.8,1.178,0.534,0,0,None,None,1,1,1,0,1.4376,1.1672,0.800,0.000,0
2.91,Saifuddin,AUIT_Multi,ACB,-0.839,1.682,0.313,58.9,8.4,0.342,1.681,0.515,-0.480,1.818,0.657,World,Wall4m,22.9,26.9,1.198,0.516,0,0,None,None,1,0,1,0,0.1821,0.4513,0.845,0.000,0
3.01,Saifuddin,AUIT_Multi,ACB,-0.840,1.683,0.312,59.7,8.0,0.343,1.682,0.516,-0.549,1.906,0.664,World,Wall4m,21.9,39.3,1.200,0.508,0,0,None,None,1,0,1,0,0.0197,1.1554,0.932,0.000,0
3.11,Saifuddin,AUIT_Multi,ACB,-0.841,1.684,0.311,60.3,7.6,0.344,1.683,0.507,-0.552,1.921,0.666,World,Wall4m,21.6,40.6,1.201,0.515,0,0,None,None,1,0,1,0,0.0911,0.1576,0.940,0.000,0
