Time,ParticipantID,Scenario,Sequence,HeadX,HeadY,HeadZ,HeadYaw,HeadPitch,VideoX,VideoY,VideoZ,InstX,InstY,InstZ,GazeTarget,HitObjectName,AngleToVideo,AngleToInst,VideoDist,InstDist,VideoOcc,InstOcc,VideoOccHitName,InstOccHitName,VideoInCone,InstInCone,VideoVisible,InstVisible,VideoSpeed,InstSpeed,PanelSeparation,ScreenOverlapPct,BothVisible
0.00,Saifuddin,AUIT_Single,ACB,1.000,0.000,0.000,0.0,0.0,-2.197,1.378,13.812,NaN,NaN,NaN,World,Wall4m,14.1,NaN,14.244,NaN,1,0,CabinetD01,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
0.20,Saifuddin,AUIT_Single,ACB,1.000,0.000,0.000,0.0,0.0,-2.197,1.378,13.812,NaN,NaN,NaN,World,Wall4m,14.1,NaN,14.244,NaN,1,0,CabinetD01,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
0.22,Saifuddin,AUIT_Single,ACB,1.000,0.000,0.000,0.0,0.0,-2.197,1.378,13.812,NaN,NaN,NaN,World,Wall4m,14.1,NaN,14.244,NaN,1,0,CabinetD01,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
0.30,Saifuddin,AUIT_Single,ACB,1.000,0.000,0.000,0.0,0.0,-2.197,1.378,13.812,NaN,NaN,NaN,World,Wall4m,14.1,NaN,14.244,NaN,1,0,CabinetD01,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
0.41,Saifuddin,AUIT_Single,ACB,1.000,0.000,0.000,0.0,0.0,-2.197,1.378,13.812,NaN,NaN,NaN,World,Wall4m,14.1,NaN,14.244,NaN,1,0,CabinetD01,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
0.50,Saifuddin,AUIT_Single,ACB,1.000,0.000,0.000,0.0,0.0,-2.197,1.378,13.812,NaN,NaN,NaN,World,Wall4m,14.1,NaN,14.244,NaN,1,0,CabinetD01,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
0.60,Saifuddin,AUIT_Single,ACB,1.000,0.000,0.000,0.0,0.0,-2.197,1.378,13.812,NaN,NaN,NaN,World,Wall4m,14.1,NaN,14.244,NaN,1,0,CabinetD01,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
0.71,Saifuddin,AUIT_Single,ACB,1.000,0.000,0.000,0.0,0.0,-2.197,1.378,13.812,NaN,NaN,NaN,World,Wall4m,14.1,NaN,14.244,NaN,1,0,CabinetD01,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
0.81,Saifuddin,AUIT_Single,ACB,1.000,0.000,0.000,0.0,0.0,-2.197,1.378,13.812,NaN,NaN,NaN,World,Wall4m,14.1,NaN,14.244,NaN,1,0,CabinetD01,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
0.91,Saifuddin,AUIT_Single,ACB,1.000,0.000,0.000,0.0,0.0,-2.197,1.378,13.812,NaN,NaN,NaN,World,Wall4m,14.1,NaN,14.244,NaN,1,0,CabinetD01,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
1.01,Saifuddin,AUIT_Single,ACB,-0.131,1.728,-0.171,36.1,354.6,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetDCorner02,45.0,NaN,14.140,NaN,1,0,CabinetD07,None,0,0,0,0,0.0000,NaN,NaN,NaN,0
1.11,Saifuddin,AUIT_Single,ACB,-0.132,1.725,-0.171,36.3,355.2,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetDCorner02,45.1,NaN,14.139,NaN,1,0,Refrigerator03_Door02,None,0,0,0,0,0.0000,NaN,NaN,NaN,0
1.31,Saifuddin,AUIT_Single,ACB,-0.132,1.725,-0.163,36.4,356.8,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetDCorner02,45.0,NaN,14.131,NaN,1,0,Refrigerator03_Door02,None,0,0,0,0,0.0000,NaN,NaN,NaN,0
1.34,Saifuddin,AUIT_Single,ACB,-0.132,1.723,-0.160,35.7,357.4,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetDCorner02,44.3,NaN,14.129,NaN,1,0,Refrigerator03_Door01,None,0,0,0,0,0.0000,NaN,NaN,NaN,0
1.41,Saifuddin,AUIT_Single,ACB,-0.134,1.719,-0.159,34.8,358.7,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetDCorner02,43.3,NaN,14.127,NaN,1,0,Refrigerator03_Door01,None,0,0,0,0,0.0000,NaN,NaN,NaN,0
1.51,Saifuddin,AUIT_Single,ACB,-0.136,1.718,-0.161,34.6,358.8,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetDCorner02,43.1,NaN,14.128,NaN,1,0,Refrigerator03_Door01,None,0,0,0,0,0.0000,NaN,NaN,NaN,0
