Time,ParticipantID,Scenario,Sequence,HeadX,HeadY,HeadZ,HeadYaw,HeadPitch,VideoX,VideoY,VideoZ,InstX,InstY,InstZ,GazeTarget,HitObjectName,AngleToVideo,AngleToInst,VideoDist,InstDist,VideoOcc,InstOcc,VideoOccHitName,InstOccHitName,VideoInCone,InstInCone,VideoVisible,InstVisible,VideoSpeed,InstSpeed,PanelSeparation,ScreenOverlapPct,BothVisible
0.00,Saifuddin,Static,ACB,1.000,0.000,0.000,0.0,0.0,-2.197,1.378,13.812,NaN,NaN,NaN,World,Wall4m,14.1,NaN,14.244,NaN,1,0,CabinetD01,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
0.14,Saifuddin,Static,ACB,1.000,0.000,0.000,0.0,0.0,-2.197,1.378,13.812,NaN,NaN,NaN,World,Wall4m,14.1,NaN,14.244,NaN,1,0,CabinetD01,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
0.21,Saifuddin,Static,ACB,1.000,0.000,0.000,0.0,0.0,-2.197,1.378,13.812,NaN,NaN,NaN,World,Wall4m,14.1,NaN,14.244,NaN,1,0,CabinetD01,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
0.30,Saifuddin,Static,ACB,1.000,0.000,0.000,0.0,0.0,-2.197,1.378,13.812,NaN,NaN,NaN,World,Wall4m,14.1,NaN,14.244,NaN,1,0,CabinetD01,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
0.40,Saifuddin,Static,ACB,1.000,0.000,0.000,0.0,0.0,-2.197,1.378,13.812,NaN,NaN,NaN,World,Wall4m,14.1,NaN,14.244,NaN,1,0,CabinetD01,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
0.51,Saifuddin,Static,ACB,1.000,0.000,0.000,0.0,0.0,-2.197,1.378,13.812,NaN,NaN,NaN,World,Wall4m,14.1,NaN,14.244,NaN,1,0,CabinetD01,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
0.61,Saifuddin,Static,ACB,1.000,0.000,0.000,0.0,0.0,-2.197,1.378,13.812,NaN,NaN,NaN,World,Wall4m,14.1,NaN,14.244,NaN,1,0,CabinetD01,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
0.71,Saifuddin,Static,ACB,1.000,0.000,0.000,0.0,0.0,-2.197,1.378,13.812,NaN,NaN,NaN,World,Wall4m,14.1,NaN,14.244,NaN,1,0,CabinetD01,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
0.80,Saifuddin,Static,ACB,1.000,0.000,0.000,0.0,0.0,-2.197,1.378,13.812,NaN,NaN,NaN,World,Wall4m,14.1,NaN,14.244,NaN,1,0,CabinetD01,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
0.92,Saifuddin,Static,ACB,-0.732,1.701,-0.024,84.7,2.7,-2.197,1.378,13.812,NaN,NaN,NaN,World,Refrigerator03_Door02,90.7,NaN,13.918,NaN,1,0,Wall4m,None,0,0,0,0,0.0000,NaN,NaN,NaN,0
1.00,Saifuddin,Static,ACB,-0.733,1.700,-0.025,84.4,3.0,-2.197,1.378,13.812,NaN,NaN,NaN,World,Refrigerator03_Door02,90.4,NaN,13.919,NaN,1,0,Wall4m,None,0,0,0,0,0.0000,NaN,NaN,NaN,0
1.10,Saifuddin,Static,ACB,-0.734,1.700,-0.027,84.5,3.1,-2.197,1.378,13.812,NaN,NaN,NaN,World,Refrigerator03_Door02,90.4,NaN,13.920,NaN,1,0,Wall4m,None,0,0,0,0,0.0000,NaN,NaN,NaN,0
1.20,Saifuddin,Static,ACB,-0.735,1.701,-0.029,84.7,2.6,-2.197,1.378,13.812,NaN,NaN,NaN,World,Quad,90.7,NaN,13.922,NaN,1,0,Wall4m,None,0,0,0,0,0.0000,NaN,NaN,NaN,0
1.31,Saifuddin,Static,ACB,-0.736,1.702,-0.031,84.8,2.2,-2.197,1.378,13.812,NaN,NaN,NaN,World,Quad,90.8,NaN,13.924,NaN,1,0,Wall4m,None,0,0,0,0,0.0000,NaN,NaN,NaN,0
1.41,Saifuddin,Static,ACB,-0.735,1.702,-0.032,84.9,2.3,-2.197,1.378,13.812,NaN,NaN,NaN,World,Quad,90.8,NaN,13.925,NaN,1,0,Wall4m,None,0,0,0,0,0.0000,NaN,NaN,NaN,0
1.51,Saifuddin,Static,ACB,-0.734,1.702,-0.032,84.6,2.4,-2.197,1.378,13.812,NaN,NaN,NaN,World,Quad,90.6,NaN,13.925,NaN,1,0,Wall4m,None,0,0,0,0,0.0000,NaN,NaN,NaN,0
1.60,Saifuddin,Static,ACB,-0.732,1.702,-0.031,84.2,2.5,-2.197,1.378,13.812,NaN,NaN,NaN,World,Quad,90.1,NaN,13.924,NaN,1,0,Wall4m,None,0,0,0,0,0.0000,NaN,NaN,NaN,0
1.70,Saifuddin,Static,ACB,-0.730,1.700,-0.030,83.7,2.9,-2.197,1.378,13.812,NaN,NaN,NaN,World,Quad,89.7,NaN,13.923,NaN,1,0,Wall4m,None,0,0,0,0,0.0000,NaN,NaN,NaN,0
1.81,Saifuddin,Static,ACB,-0.727,1.700,-0.029,83.2,3.2,-2.197,1.378,13.812,NaN,NaN,NaN,World,Quad,89.2,NaN,13.922,NaN,1,0,Wall4m,None,0,0,0,0,0.0000,NaN,NaN,NaN,0
1.91,Saifuddin,Static,ACB,-0.725,1.699,-0.028,83.2,3.4,-2.197,1.378,13.812,NaN,NaN,NaN,World,Quad,89.2,NaN,13.922,NaN,1,0,Wall4m,None,0,0,0,0,0.0000,NaN,NaN,NaN,0
2.01,Saifuddin,Static,ACB,-0.724,1.699,-0.028,83.2,3.6,-2.197,1.378,13.812,NaN,NaN,NaN,World,Quad,89.2,NaN,13.922,NaN,1,0,Wall4m,None,0,0,0,0,0.0000,NaN,NaN,NaN,0
2.10,Saifuddin,Static,ACB,-0.725,1.699,-0.027,82.8,3.8,-2.197,1.378,13.812,NaN,NaN,NaN,World,Quad,88.7,NaN,13.921,NaN,1,0,Wall4m,None,0,0,0,0,0.0000,NaN,NaN,NaN,0
2.20,Saifuddin,Static,ACB,-0.725,1.698,-0.025,81.8,4.0,-2.197,1.378,13.812,NaN,NaN,NaN,World,Quad,87.7,NaN,13.919,NaN,1,0,Wall4m,None,0,0,0,0,0.0000,NaN,NaN,NaN,0
2.31,Saifuddin,Static,ACB,-0.726,1.699,-0.021,80.5,4.0,-2.197,1.378,13.812,NaN,NaN,NaN,World,Quad,86.5,NaN,13.915,NaN,1,0,Wall4m,None,0,0,0,0,0.0000,NaN,NaN,NaN,0
2.41,Saifuddin,Static,ACB,-0.727,1.699,-0.018,79.5,3.9,-2.197,1.378,13.812,NaN,NaN,NaN,World,Quad,85.5,NaN,13.912,NaN,1,0,Wall4m,None,0,0,0,0,0.0000,NaN,NaN,NaN,0
2.51,Saifuddin,Static,ACB,-0.728,1.699,-0.015,78.5,3.8,-2.197,1.378,13.812,NaN,NaN,NaN,World,Quad,84.5,NaN,13.909,NaN,1,0,Wall4m,None,0,0,0,0,0.0000,NaN,NaN,NaN,0
2.61,Saifuddin,Static,ACB,-0.730,1.699,-0.013,77.8,3.9,-2.197,1.378,13.812,NaN,NaN,NaN,World,Quad,83.7,NaN,13.907,NaN,1,0,Wall4m,None,0,0,0,0,0.0000,NaN,NaN,NaN,0
2.70,Saifuddin,Static,ACB,-0.731,1.698,-0.011,77.3,4.0,-2.197,1.378,13.812,NaN,NaN,NaN,World,Quad,83.2,NaN,13.904,NaN,1,0,Wall4m,None,0,0,0,0,0.0000,NaN,NaN,NaN,0
2.81,Saifuddin,Static,ACB,-0.733,1.698,-0.010,76.8,4.3,-2.197,1.378,13.812,NaN,NaN,NaN,World,Quad,82.7,NaN,13.903,NaN,1,0,Wall4m,None,0,0,0,0,0.0000,NaN,NaN,NaN,0
2.90,Saifuddin,Static,ACB,-0.735,1.697,-0.010,76.5,4.4,-2.197,1.378,13.812,NaN,NaN,NaN,World,Quad,82.4,NaN,13.903,NaN,1,0,Wall4m,None,0,0,0,0,0.0000,NaN,NaN,NaN,0
3.01,Saifuddin,Static,ACB,-0.738,1.696,-0.009,76.1,4.9,-2.197,1.378,13.812,NaN,NaN,NaN,World,Quad,82.1,NaN,13.902,NaN,1,0,Wall4m,None,0,0,0,0,0.0000,NaN,NaN,NaN,0
3.10,Saifuddin,Static,ACB,-0.740,1.695,-0.009,76.1,5.4,-2.197,1.378,13.812,NaN,NaN,NaN,World,Quad,82.0,NaN,13.901,NaN,1,0,Wall4m,None,0,0,0,0,0.0000,NaN,NaN,NaN,0
