Time,ParticipantID,Scenario,Sequence,HeadX,HeadY,HeadZ,HeadYaw,HeadPitch,VideoX,VideoY,VideoZ,InstX,InstY,InstZ,GazeTarget,HitObjectName,AngleToVideo,AngleToInst,VideoDist,InstDist,VideoOcc,InstOcc,VideoOccHitName,InstOccHitName,VideoInCone,InstInCone,VideoVisible,InstVisible,VideoSpeed,InstSpeed,PanelSeparation,ScreenOverlapPct,BothVisible
0.00,Sindhu,AUIT_Multi,CAB,1.000,0.000,0.000,0.0,0.0,-2.197,1.378,13.812,-26.067,0.000,792.755,World,Wall4m,14.1,2.0,14.244,793.217,1,1,CabinetD01,Wall4m,1,1,0,0,0.0000,0.0000,779.309,0.000,0
0.19,Sindhu,AUIT_Multi,CAB,1.000,0.000,0.000,0.0,0.0,-1.484,1.055,10.442,-18.765,0.000,583.102,World,Wall4m,14.5,1.9,10.786,583.437,1,1,CabinetD01,CabinetDCorner01,1,1,0,0,18.4927,1121.4140,572.922,0.022,0
0.23,Sindhu,AUIT_Multi,CAB,1.000,0.000,0.000,0.0,0.0,0.294,0.111,2.029,1.425,0.002,1.733,World,Wall4m,19.4,13.8,2.152,1.784,1,1,CabinetD02,CabinetDCorner01,1,1,0,0,217.6850,14638.7400,1.174,0.000,0
0.31,Sindhu,AUIT_Multi,CAB,1.000,0.000,0.000,0.0,0.0,0.483,0.011,1.180,1.471,0.221,1.104,World,Wall4m,23.7,25.2,1.288,1.220,0,0,None,None,1,0,1,0,10.5333,8.0242,1.013,0.000,0
0.41,Sindhu,AUIT_Multi,CAB,1.000,0.000,0.000,0.0,0.0,0.512,0.001,1.107,1.480,0.142,1.100,World,Wall4m,23.8,24.5,1.210,1.208,0,0,None,None,1,1,1,1,0.7942,0.8078,0.978,0.000,1
0.50,Sindhu,AUIT_Multi,CAB,1.000,0.000,0.000,0.0,0.0,0.516,0.000,1.099,1.483,0.123,1.098,World,Wall4m,23.8,24.4,1.201,1.206,0,0,None,None,1,1,1,1,0.0932,0.1988,0.975,0.000,1
0.64,Sindhu,AUIT_Multi,CAB,1.000,0.000,0.000,0.0,0.0,0.516,0.000,1.098,1.484,0.121,1.098,World,Wall4m,23.8,24.4,1.200,1.206,0,0,None,None,1,1,1,1,0.0071,0.0202,0.975,0.000,1
0.72,Sindhu,AUIT_Multi,CAB,1.000,0.000,0.000,0.0,0.0,0.540,0.000,1.080,1.408,0.106,1.053,World,Wall4m,23.1,21.8,1.174,1.134,0,0,None,None,1,1,1,1,0.3654,1.0878,0.876,0.000,1
0.81,Sindhu,AUIT_Multi,CAB,1.000,0.000,0.000,0.0,0.0,0.618,0.000,0.986,1.099,0.043,0.840,World,Wall4m,21.2,7.3,1.058,0.847,0,0,None,None,1,1,1,1,1.3665,4.2629,0.505,0.000,1
0.91,Sindhu,AUIT_Multi,CAB,1.000,0.000,0.000,0.0,0.0,0.663,0.000,0.938,1.332,0.099,1.048,World,Wall4m,19.8,18.3,0.997,1.104,0,0,None,None,1,1,1,1,0.6783,3.2553,0.686,0.000,1
1.01,Sindhu,AUIT_Multi,CAB,0.796,1.509,-0.088,346.6,22.0,0.674,0.186,0.805,1.242,0.689,1.103,World,CabinetD02,33.9,31.8,1.600,1.513,0,0,None,None,0,0,0,0,2.2942,6.0020,0.815,0.000,0
