Time,ParticipantID,Scenario,Sequence,HeadX,HeadY,HeadZ,HeadYaw,HeadPitch,VideoX,VideoY,VideoZ,InstX,InstY,InstZ,GazeTarget,HitObjectName,AngleToVideo,AngleToInst,VideoDist,InstDist,VideoOcc,InstOcc,VideoOccHitName,InstOccHitName,VideoInCone,InstInCone,VideoVisible,InstVisible,VideoSpeed,InstSpeed,PanelSeparation,ScreenOverlapPct,BothVisible
0.00,Sindhu,Static,CAB,1.000,0.000,0.000,0.0,0.0,-2.197,1.378,13.812,NaN,NaN,NaN,World,Wall4m,14.1,NaN,14.244,NaN,1,0,CabinetD01,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
0.12,Sindhu,Static,CAB,1.000,0.000,0.000,0.0,0.0,-2.197,1.378,13.812,NaN,NaN,NaN,World,Wall4m,14.1,NaN,14.244,NaN,1,0,CabinetD01,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
0.20,Sindhu,Static,CAB,1.000,0.000,0.000,0.0,0.0,-2.197,1.378,13.812,NaN,NaN,NaN,World,Wall4m,14.1,NaN,14.244,NaN,1,0,CabinetD01,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
0.31,Sindhu,Static,CAB,1.000,0.000,0.000,0.0,0.0,-2.197,1.378,13.812,NaN,NaN,NaN,World,Wall4m,14.1,NaN,14.244,NaN,1,0,CabinetD01,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
0.41,Sindhu,Static,CAB,1.000,0.000,0.000,0.0,0.0,-2.197,1.378,13.812,NaN,NaN,NaN,World,Wall4m,14.1,NaN,14.244,NaN,1,0,CabinetD01,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
0.51,Sindhu,Static,CAB,1.000,0.000,0.000,0.0,0.0,-2.197,1.378,13.812,NaN,NaN,NaN,World,Wall4m,14.1,NaN,14.244,NaN,1,0,CabinetD01,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
0.60,Sindhu,Static,CAB,1.000,0.000,0.000,0.0,0.0,-2.197,1.378,13.812,NaN,NaN,NaN,World,Wall4m,14.1,NaN,14.244,NaN,1,0,CabinetD01,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
0.70,Sindhu,Static,CAB,1.000,0.000,0.000,0.0,0.0,-2.197,1.378,13.812,NaN,NaN,NaN,World,Wall4m,14.1,NaN,14.244,NaN,1,0,CabinetD01,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
0.81,Sindhu,Static,CAB,1.000,0.000,0.000,0.0,0.0,-2.197,1.378,13.812,NaN,NaN,NaN,World,Wall4m,14.1,NaN,14.244,NaN,1,0,CabinetD01,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
0.91,Sindhu,Static,CAB,0.943,1.518,0.413,14.4,20.8,-2.197,1.378,13.812,NaN,NaN,NaN,World,MixingBowl,33.7,NaN,13.763,NaN,1,0,CabinetD06,None,0,0,0,0,0.0000,NaN,NaN,NaN,0
1.01,Sindhu,Static,CAB,0.938,1.517,0.416,11.4,21.1,-2.197,1.378,13.812,NaN,NaN,NaN,World,MixingBowl,31.5,NaN,13.759,NaN,1,0,CabinetD06,None,0,0,0,0,0.0000,NaN,NaN,NaN,0
1.11,Sindhu,Static,CAB,0.936,1.517,0.417,10.4,21.3,-2.197,1.378,13.812,NaN,NaN,NaN,World,MixingBowl,31.0,NaN,13.758,NaN,1,0,CabinetD06,None,0,0,0,0,0.0000,NaN,NaN,NaN,0
1.21,Sindhu,Static,CAB,0.935,1.517,0.418,10.0,21.4,-2.197,1.378,13.812,NaN,NaN,NaN,World,MixingBowl,30.7,NaN,13.756,NaN,1,0,CabinetD06,None,0,0,0,0,0.0000,NaN,NaN,NaN,0
1.30,Sindhu,Static,CAB,0.935,1.517,0.419,9.5,21.5,-2.197,1.378,13.812,NaN,NaN,NaN,World,MixingBowl,30.4,NaN,13.755,NaN,1,0,CabinetD06,None,0,0,0,0,0.0000,NaN,NaN,NaN,0
1.40,Sindhu,Static,CAB,0.934,1.517,0.420,8.7,21.7,-2.197,1.378,13.812,NaN,NaN,NaN,World,MixingBowl,30.0,NaN,13.754,NaN,1,0,CabinetD06,None,0,0,0,0,0.0000,NaN,NaN,NaN,0
1.51,Sindhu,Static,CAB,0.933,1.517,0.420,8.1,21.8,-2.197,1.378,13.812,NaN,NaN,NaN,World,MixingBowl,29.6,NaN,13.754,NaN,1,0,CabinetD06,None,0,0,0,0,0.0000,NaN,NaN,NaN,0
1.61,Sindhu,Static,CAB,0.933,1.516,0.420,7.4,22.1,-2.197,1.378,13.812,NaN,NaN,NaN,World,MixingBowl,29.4,NaN,13.754,NaN,1,0,CabinetD06,None,0,0,0,0,0.0000,NaN,NaN,NaN,0
1.71,Sindhu,Static,CAB,0.932,1.516,0.420,6.0,22.4,-2.197,1.378,13.812,NaN,NaN,NaN,World,MixingBowl,28.7,NaN,13.754,NaN,1,0,CabinetD06,None,0,0,0,0,0.0000,NaN,NaN,NaN,0
1.81,Sindhu,Static,CAB,0.929,1.516,0.419,4.1,22.3,-2.197,1.378,13.812,NaN,NaN,NaN,World,MixingBowl,27.4,NaN,13.754,NaN,1,0,CabinetD06,None,0,0,0,0,0.0000,NaN,NaN,NaN,0
1.90,Sindhu,Static,CAB,0.927,1.516,0.418,2.6,22.1,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetDCorner01,26.4,NaN,13.754,NaN,1,0,CabinetD06,None,0,0,0,0,0.0000,NaN,NaN,NaN,0
2.00,Sindhu,Static,CAB,0.924,1.517,0.418,0.5,22.1,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetDCorner01,25.3,NaN,13.754,NaN,1,0,CabinetD06,None,0,0,0,0,0.0000,NaN,NaN,NaN,0
2.11,Sindhu,Static,CAB,0.920,1.518,0.417,356.1,21.9,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetDCorner01,23.1,NaN,13.753,NaN,1,0,CabinetD06,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
2.21,Sindhu,Static,CAB,0.914,1.519,0.417,350.2,21.9,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetD01,21.6,NaN,13.752,NaN,1,0,CabinetD06,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
2.31,Sindhu,Static,CAB,0.907,1.520,0.415,342.7,21.9,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetD02,21.7,NaN,13.753,NaN,1,0,CabinetD06,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
2.40,Sindhu,Static,CAB,0.901,1.521,0.413,333.6,21.8,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetD02,24.9,NaN,13.754,NaN,1,0,CabinetD06,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
2.51,Sindhu,Static,CAB,0.894,1.522,0.408,321.5,21.7,-2.197,1.378,13.812,NaN,NaN,NaN,World,EggBowl,32.6,NaN,13.756,NaN,1,0,CabinetD06,None,0,0,0,0,0.0000,NaN,NaN,NaN,0
2.61,Sindhu,Static,CAB,0.892,1.522,0.405,311.5,21.8,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetD04,40.6,NaN,13.760,NaN,1,0,CabinetD06,None,0,0,0,0,0.0000,NaN,NaN,NaN,0
2.71,Sindhu,Static,CAB,0.894,1.524,0.401,302.4,21.9,-2.197,1.378,13.812,NaN,NaN,NaN,World,Refrigerator03_Door01,48.4,NaN,13.763,NaN,1,0,CabinetD06,None,0,0,0,0,0.0000,NaN,NaN,NaN,0
2.81,Sindhu,Static,CAB,0.897,1.528,0.399,294.2,21.2,-2.197,1.378,13.812,NaN,NaN,NaN,World,Refrigerator03_Door01,55.5,NaN,13.766,NaN,1,0,CabinetD06,None,0,0,0,0,0.0000,NaN,NaN,NaN,0
2.90,Sindhu,Static,CAB,0.901,1.531,0.400,289.3,20.7,-2.197,1.378,13.812,NaN,NaN,NaN,World,Refrigerator03_Door01,59.8,NaN,13.767,NaN,1,0,CabinetD06,None,0,0,0,0,0.0000,NaN,NaN,NaN,0
3.00,Sindhu,Static,CAB,0.902,1.532,0.402,288.2,20.6,-2.197,1.378,13.812,NaN,NaN,NaN,World,Refrigerator03_Door01,60.7,NaN,13.765,NaN,1,0,CabinetD06,None,0,0,0,0,0.0000,NaN,NaN,NaN,0
3.11,Sindhu,Static,CAB,0.900,1.531,0.401,286.0,20.3,-2.197,1.378,13.812,NaN,NaN,NaN,World,Refrigerator03_Door01,62.7,NaN,13.765,NaN,1,0,CabinetD06,None,0,0,0,0,0.0000,NaN,NaN,NaN,0
3.21,Sindhu,Static,CAB,0.897,1.530,0.398,284.6,20.3,-2.197,1.378,13.812,NaN,NaN,NaN,World,Refrigerator03,64.1,NaN,13.767,NaN,1,0,CabinetD06,None,0,0,0,0,0.0000,NaN,NaN,NaN,0
3.31,Sindhu,Static,CAB,0.893,1.529,0.393,282.2,20.8,-2.197,1.378,13.812,NaN,NaN,NaN,World,Refrigerator03,66.3,NaN,13.771,NaN,1,0,CabinetD06,None,0,0,0,0,0.0000,NaN,NaN,NaN,0
3.40,Sindhu,Static,CAB,0.890,1.529,0.391,283.4,21.2,-2.197,1.378,13.812,NaN,NaN,NaN,World,Refrigerator03,65.3,NaN,13.772,NaN,1,0,CabinetD06,None,0,0,0,0,0.0000,NaN,NaN,NaN,0
3.50,Sindhu,Static,CAB,0.890,1.531,0.396,293.2,20.8,-2.197,1.378,13.812,NaN,NaN,NaN,World,Refrigerator03_Door01,56.2,NaN,13.767,NaN,1,0,CabinetD06,None,0,0,0,0,0.0000,NaN,NaN,NaN,0
3.61,Sindhu,Static,CAB,0.895,1.530,0.409,312.5,20.6,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetD04,39.2,NaN,13.756,NaN,1,0,CabinetD06,None,0,0,0,0,0.0000,NaN,NaN,NaN,0
3.71,Sindhu,Static,CAB,0.906,1.528,0.416,330.0,20.0,-2.197,1.378,13.812,NaN,NaN,NaN,World,EggBowl,25.5,NaN,13.752,NaN,1,0,CabinetD06,None,0,0,0,0,0.0000,NaN,NaN,NaN,0
