Time,ParticipantID,Scenario,Sequence,HeadX,HeadY,HeadZ,HeadYaw,HeadPitch,VideoX,VideoY,VideoZ,InstX,InstY,InstZ,GazeTarget,HitObjectName,AngleToVideo,AngleToInst,VideoDist,InstDist,VideoOcc,InstOcc,VideoOccHitName,InstOccHitName,VideoInCone,InstInCone,VideoVisible,InstVisible,VideoSpeed,InstSpeed,PanelSeparation,ScreenOverlapPct,BothVisible
0.00,Tarun,AUIT_Multi,BAC,1.000,0.000,0.500,0.0,0.0,-2.197,1.378,13.812,-26.067,0.000,792.755,World,CabinetDCorner01,14.7,2.0,13.760,792.717,1,1,CabinetD01,CabinetDCorner01,1,1,0,0,0.0000,0.0000,779.309,0.000,0
0.15,Tarun,AUIT_Multi,BAC,1.000,0.000,0.500,0.0,0.0,-1.463,1.055,10.528,-18.765,0.000,583.235,World,CabinetDCorner01,15.0,1.9,10.380,583.070,1,1,CabinetD01,CabinetDCorner01,1,1,0,0,22.5529,1398.6030,572.969,0.047,0
0.21,Tarun,AUIT_Multi,BAC,1.000,0.000,0.500,0.0,0.0,0.373,0.069,2.140,-5.492,0.005,192.891,World,CabinetDCorner01,21.0,1.9,1.757,192.501,1,1,CabinetD02,CabinetD01,1,1,0,0,151.8205,6860.7840,190.841,0.000,0
0.30,Tarun,AUIT_Multi,BAC,1.000,0.000,0.500,0.0,0.0,0.482,0.008,1.657,1.196,0.016,1.638,World,CabinetDCorner01,24.1,9.8,1.267,1.155,1,1,CabinetD02,CabinetDCorner01,1,1,0,0,5.1348,1967.6820,0.715,0.000,0
0.40,Tarun,AUIT_Multi,BAC,1.000,0.000,0.500,0.0,0.0,0.504,0.001,1.601,1.430,0.120,1.457,World,CabinetDCorner01,24.3,25.0,1.208,1.056,1,0,CabinetD02,None,1,0,0,0,0.6223,3.2303,0.945,0.000,0
0.51,Tarun,AUIT_Multi,BAC,1.000,0.000,0.500,0.0,0.0,0.507,0.000,1.595,1.431,0.120,1.458,World,CabinetDCorner01,24.3,25.1,1.201,1.057,1,0,CabinetD02,None,1,0,0,0,0.0634,0.0166,0.942,0.000,0
0.61,Tarun,AUIT_Multi,BAC,1.000,0.000,0.500,0.0,0.0,0.513,0.000,1.586,1.408,0.114,1.445,World,CabinetDCorner01,24.2,24.1,1.190,1.036,1,0,CabinetD02,None,1,1,0,1,0.1072,0.2816,0.914,0.000,0
0.71,Tarun,AUIT_Multi,BAC,1.000,0.000,0.500,0.0,0.0,0.549,0.001,1.534,1.256,0.077,1.363,World,CabinetDCorner01,23.6,17.2,1.128,0.904,0,0,None,None,1,1,1,1,0.6552,1.8177,0.732,0.000,1
0.80,Tarun,AUIT_Multi,BAC,1.000,0.000,0.500,0.0,0.0,0.584,0.001,1.483,1.108,0.041,1.284,World,CabinetDCorner01,22.9,8.4,1.067,0.792,0,0,None,None,1,1,1,0,0.6384,1.7724,0.562,0.000,0
0.91,Tarun,AUIT_Multi,BAC,0.662,1.584,0.102,66.4,359.9,0.616,0.002,1.446,1.270,0.086,1.388,World,Wall4m,76.3,58.9,2.076,2.066,0,0,None,None,0,0,0,0,0.4679,1.8837,0.662,0.000,0
1.00,Tarun,AUIT_Multi,BAC,0.661,1.587,0.116,64.7,359.3,0.749,0.222,1.254,1.681,1.078,0.543,World,Wall4m,72.0,25.6,1.779,1.217,0,0,None,None,0,0,0,0,3.4324,14.6107,1.451,1.000,0
1.10,Tarun,AUIT_Multi,BAC,0.661,1.588,0.133,62.0,359.2,0.786,0.262,1.183,1.836,1.515,0.201,World,Wall4m,69.8,25.1,1.696,1.179,0,0,None,None,0,0,0,0,0.8982,5.8090,1.907,0.000,0
1.21,Tarun,AUIT_Multi,BAC,0.659,1.591,0.157,59.6,358.9,0.817,0.258,1.128,1.581,1.546,0.325,World,Wall4m,68.7,20.4,1.656,0.938,0,0,None,None,0,1,0,1,0.5610,2.5389,1.699,0.000,0
1.31,Tarun,AUIT_Multi,BAC,0.653,1.593,0.179,56.7,358.3,0.844,0.259,1.079,1.368,1.581,0.426,World,Wall4m,67.7,14.5,1.620,0.756,0,0,None,None,0,1,0,0,0.5754,2.4558,1.564,0.000,0
1.41,Tarun,AUIT_Multi,BAC,0.647,1.597,0.202,53.7,357.2,0.865,0.261,1.022,1.662,1.594,0.413,World,Wall4m,68.0,24.7,1.583,1.036,0,0,None,None,0,1,0,1,0.6286,3.0265,1.669,0.000,0
1.51,Tarun,AUIT_Multi,BAC,0.646,1.599,0.223,52.0,356.6,0.891,0.262,0.967,1.798,1.597,0.447,World,Wall4m,68.4,27.2,1.550,1.174,0,0,None,None,0,0,0,0,0.6190,1.4464,1.697,0.000,0
1.60,Tarun,AUIT_Multi,BAC,0.649,1.598,0.240,52.7,357.5,0.918,0.505,0.890,1.814,1.598,0.489,World,Wall4m,64.5,25.3,1.300,1.191,0,0,None,None,0,0,0,0,2.6312,0.4572,1.470,0.000,0
1.70,Tarun,AUIT_Multi,BAC,0.655,1.597,0.250,55.9,358.0,0.951,0.601,0.888,1.603,1.597,0.482,World,Wall4m,62.3,20.4,1.219,0.976,0,0,None,None,0,1,0,1,1.0467,2.1754,1.257,0.000,0
1.81,Tarun,AUIT_Multi,BAC,0.663,1.595,0.252,61.9,358.6,0.996,0.741,0.876,1.371,1.595,0.465,World,Wall4m,59.3,11.4,1.110,0.739,0,0,None,None,0,1,0,0,1.3227,2.0906,1.019,0.000,0
1.91,Tarun,AUIT_Multi,BAC,0.668,1.595,0.249,66.9,358.6,1.045,0.857,0.869,1.684,1.595,0.330,World,Wall4m,56.5,18.6,1.035,1.020,0,0,None,None,0,1,0,1,1.2941,3.4992,1.115,0.000,0
2.01,Tarun,AUIT_Multi,BAC,0.672,1.595,0.246,70.0,358.7,1.092,0.979,0.858,1.841,1.595,0.210,World,Wall4m,52.3,21.8,0.964,1.169,0,0,None,None,0,1,0,1,1.3506,2.0285,1.166,0.000,0
2.10,Tarun,AUIT_Multi,BAC,0.676,1.596,0.244,72.1,358.8,1.118,1.097,0.831,1.864,1.595,0.141,World,Wall4m,48.4,22.8,0.889,1.193,0,0,None,None,0,1,0,1,1.2715,0.7507,1.132,0.000,0
