Time,ParticipantID,Scenario,Sequence,HeadX,HeadY,HeadZ,HeadYaw,HeadPitch,VideoX,VideoY,VideoZ,InstX,InstY,InstZ,GazeTarget,HitObjectName,AngleToVideo,AngleToInst,VideoDist,InstDist,VideoOcc,InstOcc,VideoOccHitName,InstOccHitName,VideoInCone,InstInCone,VideoVisible,InstVisible,VideoSpeed,InstSpeed,PanelSeparation,ScreenOverlapPct,BothVisible
0.00,Tarun,Static,BAC,1.000,0.000,0.500,0.0,0.0,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetDCorner01,14.7,NaN,13.760,NaN,1,0,CabinetD01,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
0.35,Tarun,Static,BAC,1.000,0.000,0.500,0.0,0.0,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetDCorner01,14.7,NaN,13.760,NaN,1,0,CabinetD01,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
0.37,Tarun,Static,BAC,1.000,0.000,0.500,0.0,0.0,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetDCorner01,14.7,NaN,13.760,NaN,1,0,CabinetD01,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
0.38,Tarun,Static,BAC,1.000,0.000,0.500,0.0,0.0,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetDCorner01,14.7,NaN,13.760,NaN,1,0,CabinetD01,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
0.41,Tarun,Static,BAC,1.000,0.000,0.500,0.0,0.0,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetDCorner01,14.7,NaN,13.760,NaN,1,0,CabinetD01,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
0.50,Tarun,Static,BAC,1.000,0.000,0.500,0.0,0.0,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetDCorner01,14.7,NaN,13.760,NaN,1,0,CabinetD01,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
0.60,Tarun,Static,BAC,1.000,0.000,0.500,0.0,0.0,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetDCorner01,14.7,NaN,13.760,NaN,1,0,CabinetD01,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
0.71,Tarun,Static,BAC,1.000,0.000,0.500,0.0,0.0,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetDCorner01,14.7,NaN,13.760,NaN,1,0,CabinetD01,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
1.11,Tarun,Static,BAC,1.000,0.000,0.500,0.0,0.0,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetDCorner01,14.7,NaN,13.760,NaN,1,0,CabinetD01,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
1.13,Tarun,Static,BAC,1.135,1.600,0.312,352.0,358.9,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetD05Door,6.2,NaN,13.907,NaN,1,0,CabinetD05Door,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
1.18,Tarun,Static,BAC,1.135,1.600,0.312,352.0,358.8,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetD05Door,6.2,NaN,13.907,NaN,1,0,CabinetD05Door,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
1.19,Tarun,Static,BAC,1.135,1.601,0.311,351.7,358.6,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetD05Door,6.1,NaN,13.908,NaN,1,0,CabinetD05Door,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
1.21,Tarun,Static,BAC,1.134,1.601,0.311,351.7,358.5,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetD05Door,6.0,NaN,13.908,NaN,1,0,CabinetD05Door,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
1.31,Tarun,Static,BAC,1.134,1.601,0.311,351.4,358.3,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetD05Door,5.9,NaN,13.908,NaN,1,0,CabinetD05Door,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
1.40,Tarun,Static,BAC,1.134,1.601,0.310,351.2,358.1,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetD05Door,5.8,NaN,13.908,NaN,1,0,CabinetD05Door,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
1.50,Tarun,Static,BAC,1.134,1.602,0.311,351.0,357.8,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetD05Door,5.8,NaN,13.908,NaN,1,0,CabinetD05Door,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
1.61,Tarun,Static,BAC,1.134,1.602,0.311,350.8,357.6,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetD05Door,5.7,NaN,13.908,NaN,1,0,CabinetD05Door,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
1.71,Tarun,Static,BAC,1.135,1.603,0.312,350.7,357.3,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetD05Door,5.8,NaN,13.907,NaN,1,0,CabinetD05,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
1.81,Tarun,Static,BAC,1.135,1.603,0.314,350.6,357.1,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetD05Door,5.9,NaN,13.906,NaN,1,0,CabinetD05,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
1.91,Tarun,Static,BAC,1.135,1.603,0.315,350.4,356.9,-2.197,1.378,13.812,NaN,NaN,NaN,World,CabinetD05Door,5.9,NaN,13.905,NaN,1,0,CabinetD05,None,1,0,0,0,0.0000,NaN,NaN,NaN,0
