Time,ParticipantID,Scenario,Sequence,HeadX,HeadY,HeadZ,HeadYaw,HeadPitch,VideoX,VideoY,VideoZ,InstX,InstY,InstZ,GazeTarget,HitObjectName,AngleToVideo,AngleToInst,VideoDist,InstDist,VideoOcc,InstOcc,VideoOccHitName,InstOccHitName,VideoInCone,InstInCone,VideoVisible,InstVisible,VideoSpeed,InstSpeed,PanelSeparation,ScreenOverlapPct,BothVisible
0.00,dummy,AUIT_Multi,BAC,1.000,0.000,1.000,0.0,0.0,-2.197,1.378,13.812,-26.067,0.000,792.755,World,CabinetD01,15.2,2.0,13.277,792.217,1,1,CabinetD01,CabinetD01,1,1,0,0,0.0000,0.0000,779.309,0.000,0
0.11,dummy,AUIT_Multi,BAC,1.000,0.000,1.000,0.0,0.0,-0.337,0.481,5.810,-9.653,0.000,321.531,World,CabinetD01,16.5,1.9,5.015,320.708,1,1,CabinetD01,CabinetD01,1,1,0,0,76.0663,4339.6430,315.859,0.048,0
0.20,dummy,AUIT_Multi,BAC,1.000,0.000,1.000,0.0,0.0,0.419,0.044,2.421,-18.031,0.002,559.541,World,CabinetD01,22.3,2.0,1.536,558.865,1,1,CabinetD01,CabinetD01,1,1,0,0,38.0243,2588.1220,557.425,0.000,0
0.30,dummy,AUIT_Multi,BAC,1.000,0.000,1.000,0.0,0.0,0.485,0.005,2.122,-15.846,0.003,495.212,World,CabinetD01,24.6,2.0,1.235,494.499,1,1,CabinetD01,CabinetD01,1,1,0,0,2.9924,624.0475,493.360,0.000,0
0.40,dummy,AUIT_Multi,BAC,1.000,0.000,1.000,0.0,0.0,0.492,0.000,2.091,-13.451,0.003,424.966,World,CabinetD01,25.0,2.0,1.204,424.212,1,1,CabinetD01,CabinetD01,1,1,0,0,0.3217,702.0844,423.104,0.000,0
0.50,dummy,AUIT_Multi,BAC,1.000,0.000,1.000,0.0,0.0,0.493,0.000,2.088,-11.247,0.004,360.194,World,CabinetD01,25.0,2.0,1.200,359.402,1,1,CabinetD01,CabinetD01,1,1,0,0,0.0349,668.7761,358.298,0.000,0
0.60,dummy,AUIT_Multi,BAC,1.000,0.000,1.000,0.0,0.0,0.493,0.000,2.088,-8.893,0.005,291.055,World,CabinetD01,25.0,2.0,1.200,290.223,1,1,CabinetD01,CabinetD01,1,1,0,0,0.0036,683.5452,289.119,0.000,0
0.70,dummy,AUIT_Multi,BAC,1.000,0.000,1.000,0.0,0.0,0.493,0.000,2.088,-6.551,0.006,222.307,World,CabinetD01,25.0,2.0,1.200,221.436,1,1,CabinetD01,CabinetD01,1,1,0,0,0.0003,688.0607,220.332,0.000,0
0.80,dummy,AUIT_Multi,BAC,1.000,0.000,1.000,0.0,0.0,0.493,0.000,2.088,-4.237,0.007,154.336,World,CabinetD01,25.0,2.0,1.200,153.425,1,1,CabinetD01,CabinetD01,1,1,0,0,0.0000,686.7968,152.322,0.000,0
0.90,dummy,AUIT_Multi,BAC,1.000,0.000,1.000,0.0,0.0,0.493,0.000,2.088,-1.880,0.008,85.173,World,CabinetD01,25.0,2.0,1.200,84.223,1,1,CabinetD01,CabinetD01,1,1,0,0,0.0000,693.2658,83.120,0.000,0
