Time,ParticipantID,Scenario,Sequence,HeadX,HeadY,HeadZ,HeadYaw,HeadPitch,VideoX,VideoY,VideoZ,InstX,InstY,InstZ,GazeTarget,AngleToVideo,AngleToInst,VideoOcc,InstOcc,HitObjectName
0.23,dummy,Static,ABC,1.000,0.000,1.000,0.0,0.0,-2.197,1.378,13.812,-26.067,0.000,792.755,World,15.2,-1.0,False,False,CabinetDCorner01
0.37,dummy,Static,ABC,1.000,0.000,1.000,0.0,0.0,-2.197,1.378,13.812,-26.067,0.000,792.755,World,15.2,-1.0,False,False,CabinetDCorner01
0.51,dummy,Static,ABC,1.000,0.000,1.000,0.0,0.0,-2.197,1.378,13.812,-26.067,0.000,792.755,World,15.2,-1.0,False,False,CabinetDCorner01
0.65,dummy,Static,ABC,1.000,0.000,1.000,0.0,0.0,-2.197,1.378,13.812,-26.067,0.000,792.755,World,15.2,-1.0,False,False,CabinetDCorner01
0.79,dummy,Static,ABC,1.000,0.000,1.000,0.0,0.0,-2.197,1.378,13.812,-26.067,0.000,792.755,World,15.2,-1.0,False,False,CabinetDCorner01
0.97,dummy,Static,ABC,0.721,1.658,1.216,122.9,355.3,-2.197,1.378,13.812,-26.067,0.000,792.755,World,135.9,-1.0,False,False,Wall4m
1.11,dummy,Static,ABC,0.718,1.659,1.215,122.6,355.1,-2.197,1.378,13.812,-26.067,0.000,792.755,World,135.5,-1.0,False,False,Wall4m
1.25,dummy,Static,ABC,0.716,1.658,1.215,122.4,355.0,-2.197,1.378,13.812,-26.067,0.000,792.755,World,135.3,-1.0,False,False,Wall4m
1.39,dummy,Static,ABC,0.714,1.658,1.213,122.2,355.2,-2.197,1.378,13.812,-26.067,0.000,792.755,World,135.1,-1.0,False,False,Wall4m
1.53,dummy,Static,ABC,0.714,1.658,1.211,121.3,355.7,-2.197,1.378,13.812,-26.067,0.000,792.755,World,134.3,-1.0,False,False,Wall4m
1.67,dummy,Static,ABC,0.718,1.654,1.212,117.4,357.7,-2.197,1.378,13.812,-26.067,0.000,792.755,World,130.4,-1.0,False,False,Wall4m
1.81,dummy,Static,ABC,0.724,1.646,1.213,112.1,2.6,-2.197,1.378,13.812,-26.067,0.000,792.755,World,125.0,-1.0,False,False,Wall4m
1.95,dummy,Static,ABC,0.730,1.636,1.219,105.3,8.8,-2.197,1.378,13.812,-26.067,0.000,792.755,World,117.9,-1.0,False,False,Quad
2.08,dummy,Static,ABC,0.733,1.633,1.223,100.4,9.7,-2.197,1.378,13.812,-26.067,0.000,792.755,World,112.9,-1.0,False,False,Quad
2.22,dummy,Static,ABC,0.732,1.634,1.226,98.9,9.0,-2.197,1.378,13.812,-26.067,0.000,792.755,World,111.6,-1.0,False,False,Quad
2.36,dummy,Static,ABC,0.730,1.635,1.228,99.1,7.9,-2.197,1.378,13.812,-26.067,0.000,792.755,World,111.8,-1.0,False,False,Quad
2.50,dummy,Static,ABC,0.728,1.636,1.224,100.6,7.8,-2.197,1.378,13.812,-26.067,0.000,792.755,World,113.3,-1.0,False,False,Quad
2.64,dummy,Static,ABC,0.725,1.634,1.222,99.9,8.4,-2.197,1.378,13.812,-26.067,0.000,792.755,World,112.5,-1.0,False,False,Quad
2.78,dummy,Static,ABC,0.722,1.635,1.219,100.2,8.2,-2.197,1.378,13.812,-26.067,0.000,792.755,World,112.8,-1.0,False,False,Quad
2.92,dummy,Static,ABC,0.721,1.633,1.212,101.9,9.6,-2.197,1.378,13.812,-26.067,0.000,792.755,World,114.4,-1.0,False,False,Quad
3.06,dummy,Static,ABC,0.721,1.628,1.206,103.5,12.1,-2.197,1.378,13.812,-26.067,0.000,792.755,World,115.6,-1.0,False,False,Quad
3.20,dummy,Static,ABC,0.724,1.614,1.209,97.4,20.2,-2.197,1.378,13.812,-26.067,0.000,792.755,World,108.7,-1.0,False,False,Quad
3.33,dummy,Static,ABC,0.728,1.592,1.220,85.0,30.8,-2.197,1.378,13.812,-26.067,0.000,792.755,World,96.4,-1.0,False,False,Wall4m
3.47,dummy,Static,ABC,0.730,1.577,1.221,81.4,38.7,-2.197,1.378,13.812,-26.067,0.000,792.755,World,93.0,-1.0,False,False,LeftHandAnchor
3.61,dummy,Static,ABC,0.736,1.574,1.212,84.2,38.7,-2.197,1.378,13.812,-26.067,0.000,792.755,World,95.2,-1.0,False,False,Floor
3.75,dummy,Static,ABC,0.745,1.573,1.196,90.1,38.5,-2.197,1.378,13.812,-26.067,0.000,792.755,World,99.7,-1.0,False,False,Floor
3.89,dummy,Static,ABC,0.754,1.573,1.180,93.9,39.2,-2.197,1.378,13.812,-26.067,0.000,792.755,World,102.6,-1.0,False,False,Floor
