Time,ParticipantID,Scenario,Sequence,HeadX,HeadY,HeadZ,HeadYaw,HeadPitch,VideoX,VideoY,VideoZ,InstX,InstY,InstZ,GazeTarget,AngleToVideo,AngleToInst,VideoOcc,InstOcc,HitObjectName
0.31,p04,AUIT_Multi,ABC,1.000,0.000,1.000,0.0,0.0,0.405,-0.093,2.109,-13.929,-0.023,441.395,World,28.5,1.9,False,False,CabinetDCorner01
0.45,p04,AUIT_Multi,ABC,1.000,0.000,1.000,0.0,0.0,0.401,-0.100,2.042,-10.813,-0.024,350.329,World,30.2,1.9,False,False,CabinetDCorner01
0.59,p04,AUIT_Multi,ABC,1.000,0.000,1.000,0.0,0.0,0.400,-0.100,2.039,-8.034,-0.023,268.780,World,30.3,1.9,False,False,CabinetDCorner01
0.73,p04,AUIT_Multi,ABC,1.000,0.000,1.000,0.0,0.0,0.400,-0.100,2.039,-5.155,-0.023,184.431,World,30.3,1.9,False,False,CabinetDCorner01
0.87,p04,AUIT_Multi,ABC,1.000,0.000,1.000,0.0,0.0,0.400,-0.100,2.039,-2.306,-0.023,100.886,World,30.3,1.9,False,False,CabinetDCorner01
1.01,p04,AUIT_Multi,ABC,1.120,1.093,0.960,39.3,8.9,0.764,0.438,1.562,0.781,0.151,13.407,World,69.3,40.8,False,False,KitchenOven07
1.15,p04,AUIT_Multi,ABC,1.117,1.092,0.958,38.8,9.7,1.145,0.954,1.325,1.918,0.788,0.837,World,34.8,58.4,False,False,KitchenOven07
1.29,p04,AUIT_Multi,ABC,1.115,1.092,0.958,37.0,9.0,1.171,0.991,1.351,1.851,0.825,0.901,World,28.7,56.4,False,False,KitchenOven07
1.43,p04,AUIT_Multi,ABC,1.110,1.091,0.968,32.6,10.1,1.158,0.989,1.352,1.671,0.863,0.912,World,25.2,61.4,False,False,KitchenOven07
1.57,p04,AUIT_Multi,ABC,1.096,1.089,0.971,26.2,10.9,1.103,0.991,1.354,1.645,0.901,1.001,World,24.9,58.8,False,False,CabinetDCorner01
